county_name,age_group,fertility_rate
Hettinger,15-19,0.06159281142294436
Kidder,15-19,0.08709032386075531
LaMoure,15-19,0.0531119854642423
Logan,15-19,0.03056444262861812
McHenry,15-19,0.09645675700117566
McIntosh,15-19,0.0668011447562777
McKenzie,15-19,0.15628978111991404
McLean,15-19,0.12580849769745417
Mercer,15-19,0.0944182440790768
Morton,15-19,0.13727908593274826
Mountrail,15-19,0.24670210104043067
Nelson,15-19,0.07237369720383015
Oliver,15-19,0.06584451210321647
Pembina,15-19,0.08415788279154218
Pierce,15-19,0.07120819603832898
Ramsey,15-19,0.1458151916979562
Ransom,15-19,0.08298920781934077
Renville,15-19,0.10591340590277452
Richland,15-19,0.05139467622480917
Rolette,15-19,0.2776726236295171
Sargent,15-19,0.039239449477307745
Sheridan,15-19,0.04135471618484912
Sioux,15-19,0.2789467633129787
Slope,15-19,0.019926144756277697
Stark,15-19,0.13467012995060218
Steele,15-19,0.019926144756277697
Stutsman,15-19,0.0931235227606477
Towner,15-19,0.08689043047056341
Traill,15-19,0.060702843785403915
Walsh,15-19,0.15036092736497333
Ward,15-19,0.120362265844015
Wells,15-19,0.08053220536233831
Williams,15-19,0.1954943265744595
Adams,20-24,0.29397163046758734
Barnes,20-24,0.3154378920601681
Benson,20-24,0.8870339708072996
Billings,20-24,0.8378268063982348
Bottineau,20-24,0.4352035949514941
Bowman,20-24,0.5452635424973915
Burke,20-24,0.7417138394987512
Burleigh,20-24,0.3572997218850153
Cass,20-24,0.22987054331113554
Cavalier,20-24,0.482030220338491
Dickey,20-24,0.4122770330223746
Divide,20-24,0.5372535058249344
Dunn,20-24,0.6852035949514941
Eddy,20-24,0.6068823788245938
Emmons,20-24,0.3800565361279647
Foster,20-24,0.47664744521887376
Golden Valley,20-24,0.561227422203914
Grand Forks,20-24,0.23130829917450912
Grant,20-24,0.48005653612796473
Griggs,20-24,0.4882882434450379
Hettinger,20-24,0.5290949976664263
Kidder,20-24,0.5675565361279646
LaMoure,20-24,0.5675565361279646
Logan,20-24,0.5017670624437542
McHenry,20-24,0.5442514513822019
McIntosh,20-24,0.5462799403832839
McKenzie,20-24,0.7990052993788481
McLean,20-24,0.497954263400692
Mercer,20-24,0.47774420368828646
Morton,20-24,0.5152240002427972
Mountrail,20-24,0.7441299627013913
Nelson,20-24,0.384864228435657
Oliver,20-24,0.6425565361279648
Pembina,20-24,0.49829977937120795
Pierce,20-24,0.5141857496111109
Ramsey,20-24,0.5141857496111109
Ransom,20-24,0.5985299874553982
Renville,20-24,0.670497712598553
Richland,20-24,0.2647185973676959
Rolette,20-24,0.7881143873676342
Sargent,20-24,0.42258612192678124
Sheridan,20-24,0.37367898510755654
Sioux,20-24,0.8613877049591336
Slope,20-24,0.6675565361279647
Stark,20-24,0.5030404070957066
Steele,20-24,0.5793212420103175
Stutsman,20-24,0.3603647553060469
Towner,20-24,0.43294115151258006
Traill,20-24,0.41876003722205657
Walsh,20-24,0.5129588349785394
Ward,20-24,0.49789250450741135
Wells,20-24,0.5384867686861042
Williams,20-24,0.7426717435012367
Adams,25-29,0.9434409591099546
Barnes,25-29,0.7585737623581361
Benson,25-29,1.0817119398986301
Billings,25-29,1.2133299507843305
Bottineau,25-29,0.7523494419314811
Bowman,25-29,0.9275656730687649
Burke,25-29,1.112598567805607
Burleigh,25-29,0.6464859240381218
Cass,25-29,0.5961418018889344
Cavalier,25-29,1.1078154045403008
Dickey,25-29,0.7151800895447373
Divide,25-29,0.8851043017505611
