county_name,age_group,sex,adjustment
Nelson,20-24,male,-3.234093065312454
Oliver,20-24,male,-2.036280818900434
Pembina,20-24,male,-7.626071302156529
Pierce,20-24,male,-4.192342862442071
Ramsey,20-24,male,-13.934549133259834
Ransom,20-24,male,-8.185050350482138
Renville,20-24,male,-2.435551567704441
Richland,20-24,male,-33.099545075852156
Rolette,20-24,male,-20.482589413645545
Sargent,20-24,male,-4.032634562920468
Sheridan,20-24,male,-1.0780310217708182
Sioux,20-24,male,-7.9854149760801345
Slope,20-24,male,-0.7985414976080135
Stark,20-24,male,-42.322699373224715
Steele,20-24,male,-2.195989118422037
Stutsman,20-24,male,-29.985233235180903
Towner,20-24,male,-1.836645444498431
Traill,20-24,male,-11.858341239479001
Walsh,20-24,male,-11.658705865076998
Ward,20-24,male,-90.03555385530352
Wells,20-24,male,-3.7132179638772627
Williams,20-24,male,-48.391614755045616
Adams,25-29,male,-1.313316972456231
Barnes,25-29,male,-17.471095482069256
Benson,25-29,male,-5.4920527939078765
Billings,25-29,male,-0.8755446483041541
Bottineau,25-29,male,-5.969622602073778
Bowman,25-29,male,-1.8704817486497838
Burke,25-29,male,-1.9102792326636089
Burleigh,25-29,male,-128.82445575275213
Cass,25-29,male,-378.6730603915467
Cavalier,25-29,male,-3.462381109202791
Dickey,25-29,male,-6.168610022142904
Divide,25-29,male,-1.3531144564700563
Dunn,25-29,male,-3.9001534333548684
Eddy,25-29,male,-2.0694691687189097
Emmons,25-29,male,-2.3480515568156863
Foster,25-29,male,-2.626633944912462
Golden Valley,25-29,male,-1.6316968445668325
Grand Forks,25-29,male,-207.74286655216747
Grant,25-29,male,-1.5918993605530074
Griggs,25-29,male,-2.14906413674656
Hettinger,25-29,male,-1.313316972456231
Kidder,25-29,male,-2.4674440088571616
LaMoure,25-29,male,-3.2235962051198404
Logan,25-29,male,-1.9898742006912593
McHenry,25-29,male,-4.258330789479295
McIntosh,25-29,male,-2.109266652732735
McKenzie,25-29,male,-19.93853949092642
McLean,25-29,male,-6.327799958198205
Mercer,25-29,male,-6.407394926225855
Morton,25-29,male,-40.67302866212934
Mountrail,25-29,male,-11.66066281605078
Nelson,25-29,male,-2.2286591047742106
Oliver,25-29,male,-1.6316968445668325
Pembina,25-29,male,-5.332862857852575
Pierce,25-29,male,-3.581773561244267
Ramsey,25-29,male,-13.610739532728214
Ransom,25-29,male,-5.213470405811099
Renville,25-29,male,-1.3929119404838814
Richland,25-29,male,-23.87849040829511
Rolette,25-29,male,-11.620865332036955
Sargent,25-29,male,-4.497115693562247
Sheridan,25-29,male,-0.7959496802765037
Sioux,25-29,male,-4.337925757506945
Slope,25-29,male,-0.4775698081659022
Stark,25-29,male,-47.955968236659345
Steele,25-29,male,-1.1541270364009304
Stutsman,25-29,male,-33.31049411957168
Towner,25-29,male,-1.0347345843594549
Traill,25-29,male,-11.700460300064606
Walsh,25-29,male,-10.426940811622199
Ward,25-29,male,-142.15661289738358
Wells,25-29,male,-2.8654188489954135
Williams,25-29,male,-63.63617693810647
Adams,30-34,male,-1.3897229973521912
Barnes,30-34,male,-11.673673177758406
Benson,30-34,male,-6.6309640159375975
Billings,30-34,male,-1.3103102546463514
Bottineau,30-34,male,-6.511844901878838
Bowman,30-34,male,-3.255922450939419
Burke,30-34,male,-2.739739623351462
Burleigh,30-34,male,-134.44577340098627
Cass,30-34,male,-324.24222846794265
Cavalier,30-34,male,-3.454454307704018
