county_name,age_group,sex,migration_rate
Walsh,0-4,male,0.13302967445373823
Ward,0-4,male,0.02628349032743278
Wells,0-4,male,0.12009244538550998
Williams,0-4,male,0.16300764388138486
Adams,5-9,male,0.058223604861408734
Barnes,5-9,male,0.02477921995930559
Benson,5-9,male,-0.023308003244498617
Billings,5-9,male,-0.015613426090563197
Bottineau,5-9,male,0.06688112731065732
Bowman,5-9,male,0.009893929836578226
Burke,5-9,male,0.13500878666610774
Burleigh,5-9,male,0.0630308994613641
Cass,5-9,male,0.01893433525619507
Cavalier,5-9,male,-0.0022987294147806597
Dickey,5-9,male,0.057785215188634366
Divide,5-9,male,0.2000968908502566
Dunn,5-9,male,0.048029021574083744
Eddy,5-9,male,0.08709716914354686
Emmons,5-9,male,0.016719200564088342
Foster,5-9,male,0.04267828522180077
Golden Valley,5-9,male,-0.0008707093022918531
Grand Forks,5-9,male,-0.04442181825443515
Grant,5-9,male,0.06507383375804096
Griggs,5-9,male,0.10443019123813443
Hettinger,5-9,male,0.22050534216544274
Kidder,5-9,male,0.05250765765120787
LaMoure,5-9,male,0.0717389653071362
Logan,5-9,male,0.021930845742308056
McHenry,5-9,male,0.1442775581564286
McIntosh,5-9,male,-0.027912537137089792
McKenzie,5-9,male,0.26019432461685243
McLean,5-9,male,0.055616718905911404
Mercer,5-9,male,0.15666477383236996
Morton,5-9,male,0.0451526836835211
Mountrail,5-9,male,0.156277116328898
Nelson,5-9,male,0.05497772701408306
Oliver,5-9,male,0.24132864094541717
Pembina,5-9,male,0.006602047205622791
Pierce,5-9,male,0.08293491535088848
Ramsey,5-9,male,0.0039493627173263985
Ransom,5-9,male,0.0721634808005057
Renville,5-9,male,0.07354088016749045
Richland,5-9,male,-0.0004175644254880988
Rolette,5-9,male,0.003042998694275826
Sargent,5-9,male,0.08317815110422576
Sheridan,5-9,male,0.37764398654381637
Sioux,5-9,male,-0.04692998281767057
Slope,5-9,male,0.03207989197254239
Stark,5-9,male,0.1524403241346103
Steele,5-9,male,-0.027167210259057616
Stutsman,5-9,male,0.051770278076412164
Towner,5-9,male,-0.03310324919519489
Traill,5-9,male,0.060863672482916714
Walsh,5-9,male,-0.056727018459565126
Ward,5-9,male,-0.04970950426372362
Wells,5-9,male,0.1022637949050377
Williams,5-9,male,0.2158881326933547
Adams,10-14,male,0.06725470249936052
Barnes,10-14,male,0.04686781098809116
Benson,10-14,male,-0.009788232412156095
Billings,10-14,male,0.10981179856583269
Bottineau,10-14,male,0.08982574814325417
Bowman,10-14,male,0.07221332791889652
Burke,10-14,male,0.06941961490855822
Burleigh,10-14,male,0.05173547307315786
Cass,10-14,male,0.025561887312108948
Cavalier,10-14,male,0.08836150493518496
Dickey,10-14,male,-0.012751987361131608
Divide,10-14,male,0.10427942574213474
Dunn,10-14,male,0.09834915714585127
Eddy,10-14,male,-0.037644532131509804
Emmons,10-14,male,0.0317561827643422
Foster,10-14,male,0.009566141625524965
Golden Valley,10-14,male,0.09015816343847509
Grand Forks,10-14,male,-0.023758233639059965
Grant,10-14,male,0.0643559689481996
Griggs,10-14,male,0.09709092856685488
Hettinger,10-14,male,0.05153956955925523
Kidder,10-14,male,0.002298493323947896
LaMoure,10-14,male,0.0875069019053376
Logan,10-14,male,0.06823539977498438
McHenry,10-14,male,0.06640557662383233
McIntosh,10-14,male,-0.0060754180368627515
McKenzie,10-14,male,0.35107165086855646
McLean,10-14,male,0.0908568368443116
Mercer,10-14,male,0.03044785968765924
Morton,10-14,male,0.051390325113921075
Mountrail,10-14,male,0.109313284491053
Nelson,10-14,male,0.026942205713522696
Oliver,10-14,male,0.03820595809232327
Pembina,10-14,male,0.014230312342106297
Pierce,10-14,male,0.02179912230579968
Ramsey,10-14,male,0.02727650400027699
Ransom,10-14,male,0.061650582440416456
Renville,10-14,male,0.048366824055857426
Richland,10-14,male,0.008273514197893317
Rolette,10-14,male,-0.028174024711443636
Sargent,10-14,male,0.05192980481321561
Sheridan,10-14,male,-0.08604902697229878
Sioux,10-14,male,-0.05065351093770218
Slope,10-14,male,0.07780162870410394
Stark,10-14,male,0.07382436281118666
Steele,10-14,male,0.00992516170901756
Stutsman,10-14,male,0.018185042288492624
Towner,10-14,male,0.10461083968136468
Traill,10-14,male,0.0420737473152919
Walsh,10-14,male,0.06757068844086292
Ward,10-14,male,-0.01647731260552553
Wells,10-14,male,-0.001134399156289987
Williams,10-14,male,0.19113800293705843
Adams,15-19,male,-0.06915826979754595
Barnes,15-19,male,0.1286909154411649
Benson,15-19,male,-0.12691217082211081
Billings,15-19,male,0.017151147798364574
Bottineau,15-19,male,0.1030779863764727
Bowman,15-19,male,-0.09565716125652937
Burke,15-19,male,-0.07030119180225415
Burleigh,15-19,male,0.08702717983817304
Cass,15-19,male,0.23686532375617186
Cavalier,15-19,male,-0.09565677707174709
Dickey,15-19,male,0.05061028130764664
Divide,15-19,male,-0.03426815826668043
Dunn,15-19,male,-0.03863280077046565
Eddy,15-19,male,-0.03658140468730127
Emmons,15-19,male,-0.04984895932266498
Foster,15-19,male,-0.0229201845160734
Golden Valley,15-19,male,0.06654349951638766
Grand Forks,15-19,male,0.41050286374145495
Grant,15-19,male,-0.05581181385898792
Griggs,15-19,male,-0.09013228039171801
Hettinger,15-19,male,0.010011103817057656
Kidder,15-19,male,-0.0530510415296858
LaMoure,15-19,male,-0.0608416349441069
Logan,15-19,male,-0.06339277846218185
McHenry,15-19,male,-0.030939520583525795
McIntosh,15-19,male,-0.05118077903297256
McKenzie,15-19,male,0.10788067389761839
McLean,15-19,male,-0.029663319968431193
Mercer,15-19,male,-0.05575747547001682
Morton,15-19,male,-0.0052955109620869195
Mountrail,15-19,male,0.03504015700977833
Nelson,15-19,male,-0.047117969472415304
Oliver,15-19,male,-0.07471769591354047
Pembina,15-19,male,-0.08803646849995654
Pierce,15-19,male,-0.03346716287656443
Ramsey,15-19,male,0.05000669059964302
Ransom,15-19,male,-0.026655189008909584
Renville,15-19,male,-0.08519101724808953
Richland,15-19,male,0.2814261034387676
