2026-03-01 16:09:24,633 | INFO | __main__ | Created package: nd_projections_place_20260301.zip
2026-03-01 16:09:24,634 | INFO | __main__ | Created 3 distribution packages
2026-03-01 16:09:24,634 | INFO | __main__ | Export report saved to data/exports/export_report_20260301_220924.json
2026-03-01 16:09:24,634 | INFO | __main__ | Export completed successfully

================================================================================
EXPORT PIPELINE SUMMARY
================================================================================

Duration: 335.39 seconds
Files Exported: 917
Packages Created: 3

Components: 17
  Successful: 17
  Failed: 0

Packages Created:
  - data/exports/packages/nd_projections_state_20260301.zip
  - data/exports/packages/nd_projections_county_20260301.zip
  - data/exports/packages/nd_projections_place_20260301.zip

================================================================================

