county,period_start,period_end,migration
Billings,2040,2045,53.234376171373086
Bottineau,2040,2045,-57.8782546067499
Bowman,2040,2045,-15.947433066319338
Burke,2040,2045,62.38879706955976
Burleigh,2040,2045,3892.5603292560218
Cass,2040,2045,9954.309794930718
Cavalier,2040,2045,-83.17418387565074
Dickey,2040,2045,-102.22700305569472
Divide,2040,2045,104.50674449822137
Dunn,2040,2045,148.71443348745018
Eddy,2040,2045,-33.08851639571877
Emmons,2040,2045,-51.39635264795342
Foster,2040,2045,-20.413767404707215
Golden Valley,2040,2045,26.569218665198232
Grand Forks,2040,2045,743.8445164163086
Grant,2040,2045,-31.066095915064253
Griggs,2040,2045,20.353695277135635
Hettinger,2040,2045,53.88281897409104
Kidder,2040,2045,-30.162666769854322
LaMoure,2040,2045,0.4285583931525627
Logan,2040,2045,-0.8498771427340674
McHenry,2040,2045,-28.397133225343033
McIntosh,2040,2045,-21.399384042509908
McKenzie,2040,2045,6289.699670668209
McLean,2040,2045,125.70857035567326
Mercer,2040,2045,35.2611656772129
Morton,2040,2045,985.6229278520105
Mountrail,2040,2045,707.9899541503435
Nelson,2040,2045,-33.77858859498947
Oliver,2040,2045,7.329753940871602
Pembina,2040,2045,-178.16715909358317
Pierce,2040,2045,-49.20712164604464
Ramsey,2040,2045,-186.06209793681353
Ransom,2040,2045,61.178179214110905
Renville,2040,2045,-30.20827880416076
Richland,2040,2045,-238.95519063023923
Rolette,2040,2045,-772.7340031398485
Sargent,2040,2045,-39.79711230515902
Sheridan,2040,2045,-10.139014794956385
Sioux,2040,2045,-267.93847722757704
Slope,2040,2045,8.597192189802048
Stark,2040,2045,2316.206130108947
Steele,2040,2045,-47.618619762509766
Stutsman,2040,2045,-180.49930500710428
Towner,2040,2045,-46.30614792616751
Traill,2040,2045,-39.23297110743821
Walsh,2040,2045,-265.3082878992815
Ward,2040,2045,172.2378708755913
Wells,2040,2045,-58.14506377612043
Williams,2040,2045,9434.691951693481
Adams,2045,2050,-13.309718648029348
Barnes,2045,2050,-70.01602079378463
Benson,2045,2050,-406.07406283779846
Billings,2045,2050,71.03801126467852
Bottineau,2045,2050,-27.568875262599775
Bowman,2045,2050,-11.2837362118714
Burke,2045,2050,85.95619968687924
Burleigh,2045,2050,4061.1709824545424
Cass,2045,2050,10053.089152803901
Cavalier,2045,2050,-56.54422594684411
Dickey,2045,2050,-89.1641182271169
Divide,2045,2050,122.12457638145844
Dunn,2045,2050,163.7917352296966
Eddy,2045,2050,-22.2650351627397
Emmons,2045,2050,-53.76738447923012
Foster,2045,2050,-14.409429455945343
Golden Valley,2045,2050,7.747551644662235
Grand Forks,2045,2050,1124.9840341104177
Grant,2045,2050,-23.3365021699437
Griggs,2045,2050,25.306120713360983
Hettinger,2045,2050,78.82716991656818
Kidder,2045,2050,-23.930505822669076
LaMoure,2045,2050,5.361562669382272
Logan,2045,2050,0.18175917895902494
McHenry,2045,2050,-22.147251936530992
McIntosh,2045,2050,-17.660235064899894
McKenzie,2045,2050,8078.645490281422
McLean,2045,2050,163.19851659088687
Mercer,2045,2050,48.052647520598896
Morton,2045,2050,1079.8084468924824
Mountrail,2045,2050,810.2817688098175
Nelson,2045,2050,-17.887159018642052
Oliver,2045,2050,16.01125499743685
Pembina,2045,2050,-154.9233397498449
Pierce,2045,2050,-51.404933697407756
Ramsey,2045,2050,-162.10094015355688
Ransom,2045,2050,64.78328384663212
Renville,2045,2050,-29.928516056223152
Richland,2045,2050,-160.7511660852316
Rolette,2045,2050,-752.123585336047
Sargent,2045,2050,-39.99372858372021
Sheridan,2045,2050,2.4069343809885972
Sioux,2045,2050,-266.71772140907615
Slope,2045,2050,11.263968167824235
Stark,2045,2050,2462.6508766497836
Steele,2045,2050,-38.06182472457529
Stutsman,2045,2050,-168.2233289683128
Towner,2045,2050,-43.62175799683889
Traill,2045,2050,-33.49426728833518
Walsh,2045,2050,-233.58773812278048
Ward,2045,2050,88.95182570707664
Wells,2045,2050,-39.87911449784711
Williams,2045,2050,11431.452467070092
