county,age_group,sex,population,year
McKenzie,25-29,Male,803.0,2020
McLean,25-29,Male,210.0,2020
Mercer,25-29,Male,182.0,2020
Morton,25-29,Male,1134.0,2020
Mountrail,25-29,Male,396.0,2020
Nelson,25-29,Male,78.0,2020
Oliver,25-29,Male,29.0,2020
Pembina,25-29,Male,161.0,2020
Pierce,25-29,Male,101.0,2020
Ramsey,25-29,Male,326.0,2020
Ransom,25-29,Male,171.0,2020
Renville,25-29,Male,64.0,2020
Richland,25-29,Male,471.0,2020
Rolette,25-29,Male,324.0,2020
Sargent,25-29,Male,127.0,2020
Sheridan,25-29,Male,33.0,2020
Sioux,25-29,Male,132.0,2020
Slope,25-29,Male,16.0,2020
Stark,25-29,Male,1412.0,2020
Steele,25-29,Male,42.0,2020
Stutsman,25-29,Male,714.0,2020
Towner,25-29,Male,45.0,2020
Traill,25-29,Male,247.0,2020
Walsh,25-29,Male,280.0,2020
Ward,25-29,Male,3400.0,2020
Wells,25-29,Male,79.0,2020
Williams,25-29,Male,2235.0,2020
Adams,30-34,Male,68.0,2020
Barnes,30-34,Male,272.0,2020
Benson,30-34,Male,163.0,2020
Billings,30-34,Male,36.0,2020
Bottineau,30-34,Male,183.0,2020
Bowman,30-34,Male,88.0,2020
Burke,30-34,Male,49.0,2020
Burleigh,30-34,Male,3610.0,2020
Cass,30-34,Male,7885.0,2020
Cavalier,30-34,Male,122.0,2020
Dickey,30-34,Male,148.0,2020
Divide,30-34,Male,78.0,2020
Dunn,30-34,Male,157.0,2020
Eddy,30-34,Male,83.0,2020
Emmons,30-34,Male,79.0,2020
Foster,30-34,Male,113.0,2020
Golden Valley,30-34,Male,32.0,2020
Grand Forks,30-34,Male,2921.0,2020
Grant,30-34,Male,36.0,2020
Griggs,30-34,Male,56.0,2020
Hettinger,30-34,Male,72.0,2020
Kidder,30-34,Male,76.0,2020
LaMoure,30-34,Male,108.0,2020
Logan,30-34,Male,44.0,2020
McHenry,30-34,Male,138.0,2020
McIntosh,30-34,Male,63.0,2020
McKenzie,30-34,Male,784.0,2020
McLean,30-34,Male,286.0,2020
Mercer,30-34,Male,267.0,2020
Morton,30-34,Male,1205.0,2020
Mountrail,30-34,Male,359.0,2020
Nelson,30-34,Male,79.0,2020
Oliver,30-34,Male,56.0,2020
Pembina,30-34,Male,196.0,2020
Pierce,30-34,Male,122.0,2020
Ramsey,30-34,Male,377.0,2020
Ransom,30-34,Male,166.0,2020
Renville,30-34,Male,75.0,2020
Richland,30-34,Male,480.0,2020
Rolette,30-34,Male,299.0,2020
Sargent,30-34,Male,132.0,2020
Sheridan,30-34,Male,29.0,2020
Sioux,30-34,Male,136.0,2020
Slope,30-34,Male,10.0,2020
Stark,30-34,Male,1542.0,2020
Steele,30-34,Male,39.0,2020
Stutsman,30-34,Male,781.0,2020
Towner,30-34,Male,57.0,2020
Traill,30-34,Male,218.0,2020
Walsh,30-34,Male,311.0,2020
Ward,30-34,Male,2927.0,2020
Wells,30-34,Male,109.0,2020
Williams,30-34,Male,2302.0,2020
Adams,35-39,Male,54.0,2020
Barnes,35-39,Male,307.0,2020
Benson,35-39,Male,177.0,2020
Billings,35-39,Male,23.0,2020
Bottineau,35-39,Male,166.0,2020
Bowman,35-39,Male,100.0,2020
Burke,35-39,Male,77.0,2020
Burleigh,35-39,Male,3747.0,2020
Cass,35-39,Male,7424.0,2020
Cavalier,35-39,Male,97.0,2020
Dickey,35-39,Male,139.0,2020
Divide,35-39,Male,66.0,2020
Dunn,35-39,Male,144.0,2020
Eddy,35-39,Male,65.0,2020
Emmons,35-39,Male,67.0,2020
Foster,35-39,Male,90.0,2020
Golden Valley,35-39,Male,57.0,2020
Grand Forks,35-39,Male,2441.0,2020
Grant,35-39,Male,63.0,2020
Griggs,35-39,Male,59.0,2020
Hettinger,35-39,Male,80.0,2020
Kidder,35-39,Male,69.0,2020
LaMoure,35-39,Male,109.0,2020
Logan,35-39,Male,49.0,2020
McHenry,35-39,Male,178.0,2020
McIntosh,35-39,Male,63.0,2020
McKenzie,35-39,Male,628.0,2020
McLean,35-39,Male,305.0,2020
Mercer,35-39,Male,263.0,2020
Morton,35-39,Male,1237.0,2020
Mountrail,35-39,Male,382.0,2020
Nelson,35-39,Male,81.0,2020
Oliver,35-39,Male,62.0,2020
Pembina,35-39,Male,226.0,2020
Pierce,35-39,Male,114.0,2020
Ramsey,35-39,Male,368.0,2020
Ransom,35-39,Male,160.0,2020
Renville,35-39,Male,82.0,2020
Richland,35-39,Male,482.0,2020
Rolette,35-39,Male,354.0,2020
Sargent,35-39,Male,109.0,2020
Sheridan,35-39,Male,31.0,2020
Sioux,35-39,Male,142.0,2020
Slope,35-39,Male,29.0,2020
Stark,35-39,Male,1385.0,2020
Steele,35-39,Male,64.0,2020
Stutsman,35-39,Male,692.0,2020
Towner,35-39,Male,66.0,2020
Traill,35-39,Male,208.0,2020
Walsh,35-39,Male,315.0,2020
Ward,35-39,Male,2702.0,2020
Wells,35-39,Male,86.0,2020
Williams,35-39,Male,1805.0,2020
Adams,40-44,Male,49.0,2020
Barnes,40-44,Male,278.0,2020
Benson,40-44,Male,170.0,2020
Billings,40-44,Male,32.0,2020
Bottineau,40-44,Male,175.0,2020
Bowman,40-44,Male,91.0,2020
Burke,40-44,Male,63.0,2020
Burleigh,40-44,Male,3222.0,2020
Cass,40-44,Male,6049.0,2020
Cavalier,40-44,Male,82.0,2020
Dickey,40-44,Male,141.0,2020
Divide,40-44,Male,72.0,2020
Dunn,40-44,Male,127.0,2020
Eddy,40-44,Male,57.0,2020
Emmons,40-44,Male,75.0,2020
Foster,40-44,Male,83.0,2020
Golden Valley,40-44,Male,59.0,2020
Grand Forks,40-44,Male,1923.0,2020
Grant,40-44,Male,60.0,2020
Griggs,40-44,Male,51.0,2020
Hettinger,40-44,Male,46.0,2020
Kidder,40-44,Male,53.0,2020
LaMoure,40-44,Male,98.0,2020
Logan,40-44,Male,42.0,2020
McHenry,40-44,Male,199.0,2020
McIntosh,40-44,Male,45.0,2020
McKenzie,40-44,Male,475.0,2020
McLean,40-44,Male,269.0,2020
Mercer,40-44,Male,261.0,2020
Morton,40-44,Male,1032.0,2020
Mountrail,40-44,Male,314.0,2020
Nelson,40-44,Male,70.0,2020
Oliver,40-44,Male,56.0,2020
Pembina,40-44,Male,191.0,2020
Pierce,40-44,Male,112.0,2020
Ramsey,40-44,Male,302.0,2020
Ransom,40-44,Male,164.0,2020
Renville,40-44,Male,46.0,2020
Richland,40-44,Male,475.0,2020
Rolette,40-44,Male,300.0,2020
Sargent,40-44,Male,142.0,2020
Sheridan,40-44,Male,40.0,2020
Sioux,40-44,Male,110.0,2020
Slope,40-44,Male,27.0,2020
Stark,40-44,Male,1035.0,2020
Steele,40-44,Male,50.0,2020
Stutsman,40-44,Male,687.0,2020
Towner,40-44,Male,42.0,2020
Traill,40-44,Male,196.0,2020
Walsh,40-44,Male,279.0,2020
Ward,40-44,Male,1995.0,2020
Wells,40-44,Male,75.0,2020
Williams,40-44,Male,1387.0,2020
Adams,45-49,Male,46.0,2020
Barnes,45-49,Male,299.0,2020
Benson,45-49,Male,134.0,2020
Billings,45-49,Male,22.0,2020
Bottineau,45-49,Male,172.0,2020
Bowman,45-49,Male,70.0,2020
