county,period_start,period_end,deaths
Stark,2025,2030,-1505.9477024333082
Steele,2025,2030,-7.985412782423282
Stutsman,2025,2030,-175.85450584522732
Towner,2025,2030,3.522409449023826
Traill,2025,2030,-92.13802475901457
Walsh,2025,2030,-107.92748406017381
Ward,2025,2030,-3375.2220051268014
Wells,2025,2030,59.7832799993821
Williams,2025,2030,-2955.191337378714
Adams,2030,2035,25.096490768690614
Barnes,2030,2035,-15.359515205701427
Benson,2030,2035,-387.8237508078314
Billings,2030,2035,-10.575608396291784
Bottineau,2030,2035,20.853899075272693
Bowman,2030,2035,-4.682930256218924
Burke,2030,2035,-35.4971071370735
Burleigh,2030,2035,-1802.7240538196056
Cass,2030,2035,-6985.533773247604
Cavalier,2030,2035,18.02245646516667
Dickey,2030,2035,-17.17338878994633
Divide,2030,2035,-2.462486415732883
Dunn,2030,2035,-99.10641081468816
Eddy,2030,2035,-14.649627329227542
Emmons,2030,2035,37.32297741811726
Foster,2030,2035,-1.532035645106589
Golden Valley,2030,2035,4.015973843015445
Grand Forks,2030,2035,-3139.7490803744367
Grant,2030,2035,19.81132036256963
Griggs,2030,2035,55.30827038354414
Hettinger,2030,2035,14.712835683797948
Kidder,2030,2035,7.610346629366404
LaMoure,2030,2035,6.72927577568089
Logan,2030,2035,14.280509178114357
McHenry,2030,2035,18.17542982260602
McIntosh,2030,2035,73.91798435930878
McKenzie,2030,2035,-999.3813239775827
McLean,2030,2035,24.797786987923246
Mercer,2030,2035,10.907594522472664
Morton,2030,2035,-815.3561982158462
Mountrail,2030,2035,-428.9573355733728
Nelson,2030,2035,76.69774703760186
Oliver,2030,2035,4.174093934288635
Pembina,2030,2035,74.96253090326627
Pierce,2030,2035,25.00227281819616
Ramsey,2030,2035,-112.80595625312162
Ransom,2030,2035,-21.209803976643798
Renville,2030,2035,-20.45238290625298
Richland,2030,2035,-109.3168607468815
Rolette,2030,2035,-623.5147141023435
Sargent,2030,2035,11.48312787404052
Sheridan,2030,2035,38.278468074372086
Sioux,2030,2035,-266.46572469335933
Slope,2030,2035,3.260938624345499
Stark,2030,2035,-1246.8092464198635
Steele,2030,2035,8.887044916326317
Stutsman,2030,2035,-158.59868219190867
Towner,2030,2035,9.859613577189293
Traill,2030,2035,-94.60521794930446
Walsh,2030,2035,-73.16310303488899
Ward,2030,2035,-3022.0089403531674
Wells,2030,2035,78.03251144338492
Williams,2030,2035,-2715.73112484784
Adams,2035,2040,28.609643870206014
Barnes,2035,2040,1.0841022190697913
Benson,2035,2040,-415.7153555885984
Billings,2035,2040,-8.0578544323198
Bottineau,2035,2040,21.774679003735855
Bowman,2035,2040,-16.36284674270496
Burke,2035,2040,-71.34018809947497
Burleigh,2035,2040,-1422.5282634054893
Cass,2035,2040,-5467.063097231818
