county,period_start,period_end,births
Emmons,2030,2035,200.32438537481332
Foster,2030,2035,188.3318274580634
Golden Valley,2030,2035,92.0668569031078
Grand Forks,2030,2035,5304.247970470458
Grant,2030,2035,136.25326893970083
Griggs,2030,2035,92.65954280252808
Hettinger,2030,2035,122.29744246987212
Kidder,2030,2035,124.01290549492101
LaMoure,2030,2035,263.0493320505745
Logan,2030,2035,133.37906875278324
McHenry,2030,2035,284.6913782142646
McIntosh,2030,2035,105.47221506228206
McKenzie,2030,2035,1760.2367445063926
McLean,2030,2035,556.890780294533
Mercer,2030,2035,440.3783453408601
Morton,2030,2035,2328.6468401083016
Mountrail,2030,2035,863.7381921791964
Nelson,2030,2035,124.4096907514464
Oliver,2030,2035,102.53375166267455
Pembina,2030,2035,292.249947151137
Pierce,2030,2035,229.63213758463831
Ramsey,2030,2035,672.2944848296289
Ransom,2030,2035,332.4073193777238
Renville,2030,2035,144.21494529492062
Richland,2030,2035,863.7262858710258
Rolette,2030,2035,1107.5517432954018
Sargent,2030,2035,199.43486904909338
Sheridan,2030,2035,53.96732492363854
Sioux,2030,2035,396.62628998149694
Slope,2030,2035,43.61570177425517
Stark,2030,2035,2545.4004404954876
Steele,2030,2035,79.60826251138587
Stutsman,2030,2035,1153.8616171376882
Towner,2030,2035,124.16225879420375
Traill,2030,2035,497.5041507156176
Walsh,2030,2035,625.78953484845
Ward,2030,2035,5344.280537287811
Wells,2030,2035,173.76776436545535
Williams,2030,2035,4422.320913770786
Adams,2035,2040,121.24266708781337
Barnes,2035,2040,517.4490127324485
Benson,2035,2040,651.4917357496082
Billings,2035,2040,74.70065289122853
Bottineau,2035,2040,338.8405826824539
Bowman,2035,2040,194.88202689833267
Burke,2035,2040,206.7348276747482
Burleigh,2035,2040,6665.976044281329
Cass,2035,2040,13197.984252236763
Cavalier,2035,2040,201.994304139047
Dickey,2035,2040,275.46800748825683
Divide,2035,2040,161.26525756286955
Dunn,2035,2040,334.10859806946155
Eddy,2035,2040,141.4020620049902
Emmons,2035,2040,193.92714567762627
Foster,2035,2040,204.75439667068295
Golden Valley,2035,2040,102.40242719437819
Grand Forks,2035,2040,4830.509686505263
Grant,2035,2040,131.35132975588402
Griggs,2035,2040,106.29187241194306
Hettinger,2035,2040,144.33129876612404
Kidder,2035,2040,127.8606397715017
LaMoure,2035,2040,279.2869985366534
Logan,2035,2040,139.53281036854085
McHenry,2035,2040,309.55687079527354
McIntosh,2035,2040,115.33943759159705
McKenzie,2035,2040,2209.1196961870555
