county_name,age_group,sex,migration_rate
Cass,55-59,male,0.02339749338550834
Cavalier,55-59,male,0.01623072965888919
Dickey,55-59,male,0.0633690915674985
Divide,55-59,male,0.14708168049081294
Dunn,55-59,male,0.15848232062170683
Eddy,55-59,male,0.12931611072551685
Emmons,55-59,male,0.036366519219421856
Foster,55-59,male,0.012643163008008993
Golden Valley,55-59,male,-0.09739422185838661
Grand Forks,55-59,male,0.012009078996196972
Grant,55-59,male,0.04295527667203314
Griggs,55-59,male,-0.006585847128883007
Hettinger,55-59,male,-0.018434809424888145
Kidder,55-59,male,-0.0742704586911947
LaMoure,55-59,male,0.0015891146160080813
Logan,55-59,male,-0.029904165209119565
McHenry,55-59,male,0.012167166612758101
McIntosh,55-59,male,0.01811544972875205
McKenzie,55-59,male,0.14481233134334626
McLean,55-59,male,0.03195286975015885
Mercer,55-59,male,0.009128892649260534
Morton,55-59,male,0.03121838702018441
Mountrail,55-59,male,0.12867963880595137
Nelson,55-59,male,0.06761307783433965
Oliver,55-59,male,-0.019183413188362444
Pembina,55-59,male,0.05530312074526905
Pierce,55-59,male,0.045063097063833615
Ramsey,55-59,male,0.011311452042403683
Ransom,55-59,male,0.0951912410160518
Renville,55-59,male,0.04056980477457548
Richland,55-59,male,0.01515169807869269
Rolette,55-59,male,-0.0230614192128721
Sargent,55-59,male,0.027634670210611948
Sheridan,55-59,male,0.0011339115960927542
Sioux,55-59,male,-0.003351703796709151
Slope,55-59,male,0.1652932807025839
Stark,55-59,male,0.041065281299184166
Steele,55-59,male,0.0324797859697828
Stutsman,55-59,male,0.0003147086965964944
Towner,55-59,male,-0.0171583172589261
Traill,55-59,male,0.03655359548383416
Walsh,55-59,male,-0.024267421582982767
Ward,55-59,male,-0.010062445212371176
Wells,55-59,male,-0.03056616350012477
Williams,55-59,male,0.11123612965594042
Adams,60-64,male,0.021966000344089232
Barnes,60-64,male,0.008215288058906244
Benson,60-64,male,0.008679978646354766
Billings,60-64,male,0.03387188426515628
Bottineau,60-64,male,0.05875853171196589
Bowman,60-64,male,0.08437551354357258
Burke,60-64,male,-0.007096383871366803
Burleigh,60-64,male,0.007397526828105606
Cass,60-64,male,-0.014165242009049419
Cavalier,60-64,male,-0.04871167444332957
Dickey,60-64,male,0.006684452790798291
Divide,60-64,male,-0.062055265939851015
Dunn,60-64,male,-0.06483753071972971
Eddy,60-64,male,-0.026030545384033495
Emmons,60-64,male,0.0251675140019857
Foster,60-64,male,-0.052646813513997776
Golden Valley,60-64,male,0.22643918596835316
Grand Forks,60-64,male,-0.05226120562007882
Grant,60-64,male,0.08125054248114245
Griggs,60-64,male,0.10735444581034533
Hettinger,60-64,male,0.02832020202777223
Kidder,60-64,male,0.14496136022120382
LaMoure,60-64,male,0.03623300094494441
Logan,60-64,male,-0.014469185284798389
McHenry,60-64,male,0.02373430325701663
McIntosh,60-64,male,-0.03479974931708887
McKenzie,60-64,male,0.10202207633408228
McLean,60-64,male,0.09553479307548816
Mercer,60-64,male,-0.021899064893473427
Morton,60-64,male,0.03830761118898848
Mountrail,60-64,male,0.014541455261588905
Nelson,60-64,male,0.1166190509695404
Oliver,60-64,male,-0.030242527859848493
Pembina,60-64,male,-0.003950280301070026
Pierce,60-64,male,-0.06902693973342944
Ramsey,60-64,male,-0.022500061071240758
