year,total_population,male_population,female_population,"population_AIAN alone, Non-Hispanic","population_Asian/PI alone, Non-Hispanic","population_Black alone, Non-Hispanic",population_Hispanic (any race),"population_Two or more races, Non-Hispanic","population_White alone, Non-Hispanic",median_age,dependency_ratio,population_under_18,population_working_age,population_65_plus
2035,828890.5791939741,425883.1508694306,403007.4283245436,42533.4049692644,21179.57135845831,37703.66588272978,49311.33243974796,23329.085502133974,654833.5190416399,36,0.655009081416233,183578.6816413904,500837.4808944684,144474.4166581155
2036,833369.5637070258,428114.268462254,405255.29524477175,43046.784140692565,21459.525774817033,38370.91968932096,50193.933641262025,23821.66569479663,656476.7347661366,36,0.6468536893621156,182871.6128386472,506037.4027700173,144460.54809836138
2037,837883.5083113385,430366.06029960606,407517.44801173237,43556.82372818952,21731.299707827322,39044.442928389515,51095.69483548582,24330.930352628093,658124.3167588182,37,0.638682039497728,182209.7166125849,511315.48898171727,144358.30271703633
2038,842421.5444405552,432635.3109398212,409786.23350073386,44062.26956506047,21993.080218860756,39726.28526547132,52021.06574531908,24858.275650426363,659760.5679954172,37,0.6310197593257856,181720.71941981144,516499.9011347274,144200.9238860163
2039,846979.1129867246,434921.92947240826,412057.1835143162,44562.35877728437,22244.288329759547,40419.14734439527,52973.99681256091,25404.75343846726,661374.5682842572,37,0.6239037483749906,181400.9863726879,521569.7752002114,144008.35141382518
2040,851565.0963446831,437225.6588355591,414339.43750912417,45056.347459108285,22485.81458695697,41126.07552806826,53957.750498143214,25971.24749128178,662967.8607811247,37,0.6176599679606136,181327.68482662155,526417.8586419818,143819.55287607978
2041,855887.6192053166,439400.1382572375,416487.48094807914,45530.9378744413,22709.336132944896,41828.02787080926,54944.374273594774,26542.04222425933,664332.9008292671,37,0.6127025174751364,181453.42312457226,530716.3658089299,143717.83027181448
2042,859932.5795778948,441435.60871638835,418496.9708615063,45987.309514130786,22916.551237149386,42525.4439022127,55926.615229122755,27110.453129976675,665466.2065653024,38,0.6087855126038492,181736.3000849355,534522.8265923889,143673.45290057032
2043,863719.9314578674,443339.7251623549,420380.20629551244,46424.82497585487,23109.033690831442,43218.992644738,56904.74580633835,27676.372989072774,666385.9613510319,38,0.6061810281315964,182170.80274316878,537747.5616572292,143801.5670574694
2044,867267.4098727207,445123.4170142764,422143.99285844434,46842.71518023647,23288.30028927254,43908.70692990747,57878.41343184662,28240.19807195539,667109.0759695023,38,0.6062292449713669,183070.54050958896,539939.9946102842,144256.87475284757
2045,870602.1148318624,446800.6382222986,423801.4766095637,47241.065778236145,23456.502494520817,44594.131103291045,58847.002624294546,28802.87231884855,667660.5405126712,38,0.6074489439383195,183859.00843519074,541604.8317521361,145138.2746445355
2046,874050.0693069472,448540.1407635984,425509.9285433487,47629.37421449269,23625.585651760564,45293.340266205516,59843.21090878205,29386.898935894744,668271.6593298116,39,0.6094516237407871,184572.99697926495,543073.2160034893,146403.85632419284
2047,877532.3830939182,450302.19908881385,427230.18400510435,48011.29208528554,23794.69799182455,45998.255153897415,60845.53786862625,29975.617755188556,668906.9822390958,39,0.612314986067316,185130.32651558757,544268.5769697858,148133.4796085448
2048,881046.5783270684,452090.5396971266,428956.03862994164,48386.78565366858,23966.04692942644,46707.22356673043,61851.642620834966,30569.210588655464,669565.6689677524,39,0.6157622057624701,185537.71594242306,545282.3287887878,150226.53359585733
2049,884588.3673909218,453899.09621085797,430689.27118006384,48755.81535504531,24141.13782529639,47418.772688385434,62858.9876126585,31167.99819795423,670245.6557115819,39,0.6193308636001184,185812.97301573394,546267.8364718455,152507.55790334233
2050,888151.4838828787,455728.27590438956,432423.207978489,49118.40813988488,24320.893885021764,48131.48565045977,63864.82969569474,31772.497220663492,670943.369291154,39,0.6225518983783517,185909.18076938635,547379.3995560545,154862.90355743765
2051,891660.8411990139,457533.4130022628,434127.42819675116,49471.968050242285,24505.154508253832,48849.798906714626,64862.349147769186,32380.976910052064,671590.593675982,40,0.6254506089676561,185861.43821091772,548562.2486956518,157237.15429244447
2052,895083.1898824361,459295.18876538996,435788.00111704605,49816.37726216823,24688.3973535547,49568.35021763482,65841.13639359882,32983.10335777544,672185.825297704,40,0.628301643119609,185685.31937188678,549703.5476593734,159694.3228511758
2053,898407.7391690305,461004.99471261445,437402.7444564161,50152.192857086906,24869.93279352974,50286.39693180069,66797.69000948848,33578.26614970759,672723.2604274171,40,0.6312785947339233,185411.4752324061,550738.3852575894,162257.878679035
2054,901615.5566491487,462648.9475290566,438966.6091200921,50480.18847483582,25049.11181385713,51003.32957072242,67728.4624268345,34165.316054335504,673189.1483085633,40,0.6346316409228264,185071.27464951552,551571.0904385432,164973.1915610899
2055,904692.2532768406,464216.4384786575,440475.8147981829,50801.77025351411,25225.676624830587,51719.30230266083,68630.59661847237,34742.692607287594,673572.214870075,40,0.638248908708677,184608.5504475534,552231.2564761294,167852.44635315775
