county_name,age_group,sex,population
Wells,25-29,male,79
Williams,25-29,male,2235
Adams,30-34,male,68
Barnes,30-34,male,272
Benson,30-34,male,163
Billings,30-34,male,36
Bottineau,30-34,male,183
Bowman,30-34,male,88
Burke,30-34,male,49
Burleigh,30-34,male,3610
Cass,30-34,male,7885
Cavalier,30-34,male,122
Dickey,30-34,male,148
Divide,30-34,male,78
Dunn,30-34,male,157
Eddy,30-34,male,83
Emmons,30-34,male,79
Foster,30-34,male,113
Golden Valley,30-34,male,32
Grand Forks,30-34,male,2921
Grant,30-34,male,36
Griggs,30-34,male,56
Hettinger,30-34,male,72
Kidder,30-34,male,76
LaMoure,30-34,male,108
Logan,30-34,male,44
McHenry,30-34,male,138
McIntosh,30-34,male,63
McKenzie,30-34,male,784
McLean,30-34,male,286
Mercer,30-34,male,267
Morton,30-34,male,1205
Mountrail,30-34,male,359
Nelson,30-34,male,79
Oliver,30-34,male,56
Pembina,30-34,male,196
Pierce,30-34,male,122
Ramsey,30-34,male,377
Ransom,30-34,male,166
Renville,30-34,male,75
Richland,30-34,male,480
Rolette,30-34,male,299
Sargent,30-34,male,132
Sheridan,30-34,male,29
Sioux,30-34,male,136
Slope,30-34,male,10
Stark,30-34,male,1542
Steele,30-34,male,39
Stutsman,30-34,male,781
Towner,30-34,male,57
Traill,30-34,male,218
Walsh,30-34,male,311
Ward,30-34,male,2927
Wells,30-34,male,109
Williams,30-34,male,2302
Adams,35-39,male,54
Barnes,35-39,male,307
Benson,35-39,male,177
Billings,35-39,male,23
Bottineau,35-39,male,166
Bowman,35-39,male,100
Burke,35-39,male,77
Burleigh,35-39,male,3747
Cass,35-39,male,7424
Cavalier,35-39,male,97
Dickey,35-39,male,139
Divide,35-39,male,66
Dunn,35-39,male,144
Eddy,35-39,male,65
Emmons,35-39,male,67
Foster,35-39,male,90
Golden Valley,35-39,male,57
Grand Forks,35-39,male,2441
Grant,35-39,male,63
Griggs,35-39,male,59
Hettinger,35-39,male,80
Kidder,35-39,male,69
LaMoure,35-39,male,109
Logan,35-39,male,49
McHenry,35-39,male,178
McIntosh,35-39,male,63
McKenzie,35-39,male,628
McLean,35-39,male,305
Mercer,35-39,male,263
Morton,35-39,male,1237
Mountrail,35-39,male,382
Nelson,35-39,male,81
Oliver,35-39,male,62
Pembina,35-39,male,226
Pierce,35-39,male,114
Ramsey,35-39,male,368
Ransom,35-39,male,160
Renville,35-39,male,82
Richland,35-39,male,482
Rolette,35-39,male,354
Sargent,35-39,male,109
Sheridan,35-39,male,31
Sioux,35-39,male,142
Slope,35-39,male,29
Stark,35-39,male,1385
Steele,35-39,male,64
Stutsman,35-39,male,692
Towner,35-39,male,66
Traill,35-39,male,208
Walsh,35-39,male,315
Ward,35-39,male,2702
Wells,35-39,male,86
Williams,35-39,male,1805
Adams,40-44,male,49
Barnes,40-44,male,278
Benson,40-44,male,170
Billings,40-44,male,32
Bottineau,40-44,male,175
Bowman,40-44,male,91
Burke,40-44,male,63
Burleigh,40-44,male,3222
Cass,40-44,male,6049
Cavalier,40-44,male,82
Dickey,40-44,male,141
Divide,40-44,male,72
Dunn,40-44,male,127
Eddy,40-44,male,57
Emmons,40-44,male,75
Foster,40-44,male,83
Golden Valley,40-44,male,59
Grand Forks,40-44,male,1923
Grant,40-44,male,60
Griggs,40-44,male,51
Hettinger,40-44,male,46
Kidder,40-44,male,53
LaMoure,40-44,male,98
Logan,40-44,male,42
McHenry,40-44,male,199
McIntosh,40-44,male,45
McKenzie,40-44,male,475
McLean,40-44,male,269
Mercer,40-44,male,261
Morton,40-44,male,1032
Mountrail,40-44,male,314
Nelson,40-44,male,70
Oliver,40-44,male,56
Pembina,40-44,male,191
Pierce,40-44,male,112
Ramsey,40-44,male,302
Ransom,40-44,male,164
Renville,40-44,male,46
Richland,40-44,male,475
Rolette,40-44,male,300
Sargent,40-44,male,142
Sheridan,40-44,male,40
Sioux,40-44,male,110
Slope,40-44,male,27
Stark,40-44,male,1035
Steele,40-44,male,50
Stutsman,40-44,male,687
Towner,40-44,male,42
Traill,40-44,male,196
Walsh,40-44,male,279
Ward,40-44,male,1995
Wells,40-44,male,75
Williams,40-44,male,1387
Adams,45-49,male,46
Barnes,45-49,male,299
Benson,45-49,male,134
Billings,45-49,male,22
Bottineau,45-49,male,172
Bowman,45-49,male,70
Burke,45-49,male,71
Burleigh,45-49,male,2777
Cass,45-49,male,5090
Cavalier,45-49,male,101
Dickey,45-49,male,132
Divide,45-49,male,60
Dunn,45-49,male,130
Eddy,45-49,male,56
Emmons,45-49,male,77
Foster,45-49,male,96
Golden Valley,45-49,male,39
Grand Forks,45-49,male,1715
Grant,45-49,male,63
Griggs,45-49,male,55
Hettinger,45-49,male,50
Kidder,45-49,male,63
LaMoure,45-49,male,98
Logan,45-49,male,49
McHenry,45-49,male,141
McIntosh,45-49,male,49
McKenzie,45-49,male,440
McLean,45-49,male,272
Mercer,45-49,male,224
Morton,45-49,male,945
Mountrail,45-49,male,278
Nelson,45-49,male,66
Oliver,45-49,male,53
Pembina,45-49,male,170
Pierce,45-49,male,112
Ramsey,45-49,male,272
Ransom,45-49,male,169
Renville,45-49,male,68
Richland,45-49,male,398
Rolette,45-49,male,315
Sargent,45-49,male,120
Sheridan,45-49,male,31
Sioux,45-49,male,94
Slope,45-49,male,13
Stark,45-49,male,916
Steele,45-49,male,60
Stutsman,45-49,male,561
Towner,45-49,male,37
Traill,45-49,male,233
Walsh,45-49,male,296
Ward,45-49,male,1775
Wells,45-49,male,84
Williams,45-49,male,1244
Adams,50-54,male,64
Barnes,50-54,male,311
Benson,50-54,male,151
Billings,50-54,male,30
Bottineau,50-54,male,171
Bowman,50-54,male,74
Burke,50-54,male,71
Burleigh,50-54,male,2744
Cass,50-54,male,4812
Cavalier,50-54,male,102
Dickey,50-54,male,143
Divide,50-54,male,52
Dunn,50-54,male,125
Eddy,50-54,male,58
Emmons,50-54,male,84
Foster,50-54,male,97
Golden Valley,50-54,male,40
Grand Forks,50-54,male,1691
Grant,50-54,male,55
Griggs,50-54,male,74
Hettinger,50-54,male,66
Kidder,50-54,male,82
LaMoure,50-54,male,117
Logan,50-54,male,59
McHenry,50-54,male,169
McIntosh,50-54,male,69
McKenzie,50-54,male,414
McLean,50-54,male,279
Mercer,50-54,male,244
Morton,50-54,male,925
Mountrail,50-54,male,283
Nelson,50-54,male,75
Oliver,50-54,male,56
Pembina,50-54,male,182
Pierce,50-54,male,111
Ramsey,50-54,male,301
Ransom,50-54,male,177
Renville,50-54,male,79
Richland,50-54,male,451
Rolette,50-54,male,309
Sargent,50-54,male,125
Sheridan,50-54,male,58
Sioux,50-54,male,102
Slope,50-54,male,16
Stark,50-54,male,909
Steele,50-54,male,59
Stutsman,50-54,male,656
Towner,50-54,male,80
Traill,50-54,male,212
Walsh,50-54,male,326
Ward,50-54,male,1673
Wells,50-54,male,137
Williams,50-54,male,1177
Adams,55-59,male,90
Barnes,55-59,male,384
Benson,55-59,male,153
Billings,55-59,male,39
Bottineau,55-59,male,251
Bowman,55-59,male,107
Burke,55-59,male,99
Burleigh,55-59,male,2974
Cass,55-59,male,4993
Cavalier,55-59,male,143
Dickey,55-59,male,160
Divide,55-59,male,102
Dunn,55-59,male,153
Eddy,55-59,male,86
Emmons,55-59,male,175
Foster,55-59,male,145
Golden Valley,55-59,male,56
Grand Forks,55-59,male,1949
Grant,55-59,male,98
Griggs,55-59,male,73
Hettinger,55-59,male,103
Kidder,55-59,male,86
LaMoure,55-59,male,171
Logan,55-59,male,75
McHenry,55-59,male,205
