origin_year,method,validation_year,horizon,county_fips,county_name,projected,actual,error,pct_error,category,z_score,horizon_mean_error,horizon_std_error
2005,m2026,2020,15,38105,Williams,19943.3,40951.0,-21007.7,-51.2996,Bakken,-2.347081584940654,-15.573218867924528,15.22161878023461
2005,m2026,2020,15,38053,McKenzie,6149.0,14707.0,-8558.0,-58.1899,Bakken,-2.799746974836445,-15.573218867924528,15.22161878023461
2005,m2026,2021,16,38041,Hettinger,3805.3,2428.0,1377.3,56.7271,Rural,4.452546909668058,-15.548909433962265,16.23250937054148
2005,m2026,2021,16,38105,Williams,19937.0,38506.0,-18569.0,-48.2237,Bakken,-2.012922944947469,-15.548909433962265,16.23250937054148
2005,m2026,2021,16,38053,McKenzie,6209.3,13855.0,-7645.7,-55.1838,Bakken,-2.4416983019253053,-15.548909433962265,16.23250937054148
2005,m2026,2022,17,38041,Hettinger,4012.0,2425.0,1587.0,65.4449,Rural,4.691388761202622,-15.988707547169808,17.35810261997869
2005,m2026,2022,17,38053,McKenzie,6271.0,13905.0,-7634.0,-54.9008,Bakken,-2.24172499176514,-15.988707547169808,17.35810261997869
2005,m2026,2023,18,38041,Hettinger,4237.5,2418.0,1819.5,75.2461,Rural,4.927822179044307,-16.683660377358493,18.655251150963238
2005,m2026,2023,18,38053,McKenzie,6333.9,14282.0,-7948.1,-55.651,Bakken,-2.088813455648893,-16.683660377358493,18.655251150963238
2005,m2026,2024,19,38041,Hettinger,4482.2,2419.0,2063.2,85.2904,Rural,5.1245539491854455,-17.44720943396226,20.048107689507795
2020,sdc_2024,2021,1,38053,McKenzie,15029.8,13855.0,1174.8,8.4792,Bakken,4.943704718766534,-0.36662405660377356,1.789310761831024
2020,sdc_2024,2021,1,38105,Williams,41732.2,38506.0,3226.2,8.3783,Bakken,4.887314290590296,-0.36662405660377356,1.789310761831024
2020,sdc_2024,2021,1,38085,Sioux,3883.2,3750.0,133.2,3.5527,Reservation,2.190409927783076,-0.36662405660377356,1.789310761831024
2020,sdc_2024,2021,1,38061,Mountrail,9915.8,9578.0,337.8,3.5263,Bakken,2.1756556433048533,-0.36662405660377356,1.789310761831024
2015,sdc_2024,2016,1,38089,Stark,30603.4,31861.0,-1257.6,-3.9472,Bakken,-2.0010922751798454,-0.36662405660377356,1.789310761831024
2015,sdc_2024,2016,1,38061,Mountrail,9878.4,10311.0,-432.6,-4.1959,Bakken,-2.1400843414576465,-0.36662405660377356,1.789310761831024
2015,sdc_2024,2016,1,38105,Williams,32635.0,35301.0,-2666.0,-7.5521,Bakken,-4.01577864319289,-0.36662405660377356,1.789310761831024
2015,sdc_2024,2016,1,38053,McKenzie,11194.2,12794.0,-1599.8,-12.5042,Bakken,-6.7833806191249275,-0.36662405660377356,1.789310761831024
2020,sdc_2024,2022,2,38105,Williams,42513.3,38012.0,4501.3,11.8418,Bakken,4.864303373836228,-0.7731330188679245,2.5933688854030437
2020,sdc_2024,2022,2,38053,McKenzie,15352.6,13905.0,1447.6,10.4106,Bakken,4.312434332738524,-0.7731330188679245,2.5933688854030437
2020,sdc_2024,2022,2,38061,Mountrail,10025.5,9255.0,770.5,8.3253,Bakken,3.5083450989479688,-0.7731330188679245,2.5933688854030437
2020,sdc_2024,2022,2,38089,Stark,34368.1,32762.0,1606.1,4.9022,Bakken,2.1884017544946763,-0.7731330188679245,2.5933688854030437
2020,sdc_2024,2022,2,38085,Sioux,3869.4,3697.0,172.4,4.6646,Reservation,2.0967834732168575,-0.7731330188679245,2.5933688854030437
