origin_year,method,validation_year,horizon,county_fips,county_name,projected,actual,error,pct_error
2005,m2026,2007,2,38049,McHenry,5416.3,5370.0,46.3,0.8617
2005,m2026,2007,2,38051,McIntosh,3028.7,2966.0,62.7,2.1124
2005,m2026,2007,2,38053,McKenzie,5702.4,5812.0,-109.6,-1.8866
2005,m2026,2007,2,38055,McLean,8595.9,8811.0,-215.1,-2.4408
2005,m2026,2007,2,38057,Mercer,8287.2,8351.0,-63.8,-0.7636
2005,m2026,2007,2,38059,Morton,25587.7,26310.0,-722.3,-2.7453
2005,m2026,2007,2,38061,Mountrail,6914.4,6991.0,-76.6,-1.0959
2005,m2026,2007,2,38063,Nelson,3255.6,3222.0,33.6,1.0433
2005,m2026,2007,2,38065,Oliver,1860.1,1865.0,-4.9,-0.2637
2005,m2026,2007,2,38067,Pembina,7617.3,7585.0,32.3,0.4253
2005,m2026,2007,2,38069,Pierce,4272.6,4368.0,-95.4,-2.1844
2005,m2026,2007,2,38071,Ramsey,11002.1,11320.0,-317.9,-2.8082
2005,m2026,2007,2,38073,Ransom,5690.8,5766.0,-75.2,-1.3042
2005,m2026,2007,2,38075,Renville,2475.0,2415.0,60.0,2.4859
2005,m2026,2007,2,38077,Richland,16943.0,16659.0,284.0,1.705
2005,m2026,2007,2,38079,Rolette,13535.7,13679.0,-143.3,-1.0477
2005,m2026,2007,2,38081,Sargent,3987.4,4057.0,-69.6,-1.7145
2005,m2026,2007,2,38083,Sheridan,1410.3,1406.0,4.3,0.3027
2005,m2026,2007,2,38085,Sioux,4063.9,4094.0,-30.1,-0.7352
2005,m2026,2007,2,38087,Slope,727.0,711.0,16.0,2.2514
2005,m2026,2007,2,38089,Stark,22577.5,23176.0,-598.5,-2.5823
2005,m2026,2007,2,38091,Steele,2018.1,1985.0,33.1,1.668
2005,m2026,2007,2,38093,Stutsman,20733.0,20876.0,-143.0,-0.6851
2005,m2026,2007,2,38095,Towner,2328.0,2320.0,8.0,0.3441
2005,m2026,2007,2,38097,Traill,8210.3,8318.0,-107.7,-1.2942
2005,m2026,2007,2,38099,Walsh,11274.6,11355.0,-80.4,-0.7082
2005,m2026,2007,2,38101,Ward,55949.4,58297.0,-2347.6,-4.027
2005,m2026,2007,2,38103,Wells,4333.6,4317.0,16.6,0.3855
2005,m2026,2007,2,38105,Williams,19841.0,20547.0,-706.0,-3.4358
2005,sdc_2024,2008,3,38001,Adams,2293.7,2343.0,-49.3,-2.1052
2005,sdc_2024,2008,3,38003,Barnes,10778.4,11027.0,-248.6,-2.2545
2005,sdc_2024,2008,3,38005,Benson,6598.5,6622.0,-23.5,-0.3552
2005,sdc_2024,2008,3,38007,Billings,739.4,768.0,-28.6,-3.7207
2005,sdc_2024,2008,3,38009,Bottineau,6345.8,6370.0,-24.2,-0.3798
2005,sdc_2024,2008,3,38011,Bowman,2909.6,3158.0,-248.4,-7.8649
2005,sdc_2024,2008,3,38013,Burke,1973.4,1902.0,71.4,3.7521
2005,sdc_2024,2008,3,38015,Burleigh,76300.3,78678.0,-2377.7,-3.0221
2005,sdc_2024,2008,3,38017,Cass,137068.8,144290.0,-7221.2,-5.0047
2005,sdc_2024,2008,3,38019,Cavalier,4073.0,4008.0,65.0,1.6218
2005,sdc_2024,2008,3,38021,Dickey,5286.7,5305.0,-18.3,-0.3445
2005,sdc_2024,2008,3,38023,Divide,2003.1,2022.0,-18.9,-0.9348
2005,sdc_2024,2008,3,38025,Dunn,3338.0,3470.0,-132.0,-3.8026
2005,sdc_2024,2008,3,38027,Eddy,2498.1,2470.0,28.1,1.1375
2005,sdc_2024,2008,3,38029,Emmons,3500.6,3588.0,-87.4,-2.4365
2005,sdc_2024,2008,3,38031,Foster,3430.0,3436.0,-6.0,-0.1747
2005,sdc_2024,2008,3,38033,Golden Valley,1575.7,1650.0,-74.3,-4.5052
2005,sdc_2024,2008,3,38035,Grand Forks,62958.0,66917.0,-3959.0,-5.9162
2005,sdc_2024,2008,3,38037,Grant,2450.3,2440.0,10.3,0.4232
2005,sdc_2024,2008,3,38039,Griggs,2379.5,2406.0,-26.5,-1.1013
2005,sdc_2024,2008,3,38041,Hettinger,2589.8,2479.0,110.8,4.4684
2005,sdc_2024,2008,3,38043,Kidder,2358.7,2419.0,-60.3,-2.4924
2005,sdc_2024,2008,3,38045,LaMoure,4260.7,4218.0,42.7,1.0126
2005,sdc_2024,2008,3,38047,Logan,1920.1,2000.0,-79.9,-3.9943
2005,sdc_2024,2008,3,38049,McHenry,5312.3,5355.0,-42.7,-0.7968
2005,sdc_2024,2008,3,38051,McIntosh,2967.5,2911.0,56.5,1.9398
2005,sdc_2024,2008,3,38053,McKenzie,5716.3,5908.0,-191.7,-3.2455
2005,sdc_2024,2008,3,38055,McLean,8479.0,8883.0,-404.0,-4.5477
2005,sdc_2024,2008,3,38057,Mercer,8246.9,8295.0,-48.1,-0.5793
2005,sdc_2024,2008,3,38059,Morton,25603.9,26696.0,-1092.1,-4.0911
2005,sdc_2024,2008,3,38061,Mountrail,6948.9,7153.0,-204.1,-2.8535
2005,sdc_2024,2008,3,38063,Nelson,3187.1,3176.0,11.1,0.3482
2005,sdc_2024,2008,3,38065,Oliver,1830.9,1836.0,-5.1,-0.279
2005,sdc_2024,2008,3,38067,Pembina,7469.1,7452.0,17.1,0.229
2005,sdc_2024,2008,3,38069,Pierce,4211.3,4372.0,-160.7,-3.6757
2005,sdc_2024,2008,3,38071,Ramsey,10820.2,11434.0,-613.8,-5.3681
2005,sdc_2024,2008,3,38073,Ransom,5650.9,5677.0,-26.1,-0.4591
2005,sdc_2024,2008,3,38075,Renville,2459.9,2387.0,72.9,3.0548
2005,sdc_2024,2008,3,38077,Richland,16565.6,16488.0,77.6,0.4708
2005,sdc_2024,2008,3,38079,Rolette,13418.0,13744.0,-326.0,-2.372
2005,sdc_2024,2008,3,38081,Sargent,3907.3,3978.0,-70.7,-1.7778
2005,sdc_2024,2008,3,38083,Sheridan,1365.3,1351.0,14.3,1.0605
2005,sdc_2024,2008,3,38085,Sioux,4045.8,4072.0,-26.2,-0.6445
2005,sdc_2024,2008,3,38087,Slope,729.0,730.0,-1.0,-0.1436
2005,sdc_2024,2008,3,38089,Stark,22687.5,23375.0,-687.5,-2.9412
2005,sdc_2024,2008,3,38091,Steele,1972.0,1960.0,12.0,0.6136
2005,sdc_2024,2008,3,38093,Stutsman,20513.8,20812.0,-298.2,-1.433
2005,sdc_2024,2008,3,38095,Towner,2246.9,2234.0,12.9,0.5765
2005,sdc_2024,2008,3,38097,Traill,8118.8,8157.0,-38.2,-0.4685
2005,sdc_2024,2008,3,38099,Walsh,11087.8,11296.0,-208.2,-1.8429
2005,sdc_2024,2008,3,38101,Ward,55763.8,58670.0,-2906.2,-4.9535
2005,sdc_2024,2008,3,38103,Wells,4220.4,4253.0,-32.6,-0.7666
2005,sdc_2024,2008,3,38105,Williams,19909.9,20928.0,-1018.1,-4.8647
2005,m2026,2008,3,38001,Adams,2305.9,2343.0,-37.1,-1.5848
2005,m2026,2008,3,38003,Barnes,10795.3,11027.0,-231.7,-2.1008
2005,m2026,2008,3,38005,Benson,6621.0,6622.0,-1.0,-0.0151
2005,m2026,2008,3,38007,Billings,735.9,768.0,-32.1,-4.18
2005,m2026,2008,3,38009,Bottineau,6388.3,6370.0,18.3,0.2871
2005,m2026,2008,3,38011,Bowman,2917.0,3158.0,-241.0,-7.6301
2005,m2026,2008,3,38013,Burke,1973.2,1902.0,71.2,3.7411
2005,m2026,2008,3,38015,Burleigh,75587.8,78678.0,-3090.2,-3.9277
2005,m2026,2008,3,38017,Cass,134818.0,144290.0,-9472.0,-6.5646
2005,m2026,2008,3,38019,Cavalier,4095.8,4008.0,87.8,2.1906
2005,m2026,2008,3,38021,Dickey,5287.8,5305.0,-17.2,-0.3234
2005,m2026,2008,3,38023,Divide,2011.4,2022.0,-10.6,-0.5219
2005,m2026,2008,3,38025,Dunn,3294.0,3470.0,-176.0,-5.0724
2005,m2026,2008,3,38027,Eddy,2508.7,2470.0,38.7,1.5649
2005,m2026,2008,3,38029,Emmons,3522.1,3588.0,-65.9,-1.8364
2005,m2026,2008,3,38031,Foster,3435.4,3436.0,-0.6,-0.0172
2005,m2026,2008,3,38033,Golden Valley,1590.9,1650.0,-59.1,-3.5848
2005,m2026,2008,3,38035,Grand Forks,62281.1,66917.0,-4635.9,-6.9279
2005,m2026,2008,3,38037,Grant,2468.7,2440.0,28.7,1.1783
2005,m2026,2008,3,38039,Griggs,2382.3,2406.0,-23.7,-0.9866
2005,m2026,2008,3,38041,Hettinger,2572.8,2479.0,93.8,3.7851
2005,m2026,2008,3,38043,Kidder,2367.1,2419.0,-51.9,-2.1453
2005,m2026,2008,3,38045,LaMoure,4271.1,4218.0,53.1,1.2586
2005,m2026,2008,3,38047,Logan,1928.5,2000.0,-71.5,-3.5765
2005,m2026,2008,3,38049,McHenry,5341.7,5355.0,-13.3,-0.2492
2005,m2026,2008,3,38051,McIntosh,2978.1,2911.0,67.1,2.3041
2005,m2026,2008,3,38053,McKenzie,5703.2,5908.0,-204.8,-3.4662
2005,m2026,2008,3,38055,McLean,8491.8,8883.0,-391.2,-4.4044
2005,m2026,2008,3,38057,Mercer,8259.7,8295.0,-35.3,-0.4259
2005,m2026,2008,3,38059,Morton,25599.4,26696.0,-1096.6,-4.1076
2005,m2026,2008,3,38061,Mountrail,6963.6,7153.0,-189.4,-2.6477
2005,m2026,2008,3,38063,Nelson,3197.0,3176.0,21.0,0.6628
2005,m2026,2008,3,38065,Oliver,1837.7,1836.0,1.7,0.0943
2005,m2026,2008,3,38067,Pembina,7474.1,7452.0,22.1,0.2963
2005,m2026,2008,3,38069,Pierce,4210.7,4372.0,-161.3,-3.6898
2005,m2026,2008,3,38071,Ramsey,10835.2,11434.0,-598.8,-5.2374
2005,m2026,2008,3,38073,Ransom,5655.4,5677.0,-21.6,-0.3806
2005,m2026,2008,3,38075,Renville,2455.7,2387.0,68.7,2.8779
2005,m2026,2008,3,38077,Richland,16754.6,16488.0,266.6,1.6168
2005,m2026,2008,3,38079,Rolette,13470.5,13744.0,-273.5,-1.9902
2005,m2026,2008,3,38081,Sargent,3930.2,3978.0,-47.8,-1.2005
2005,m2026,2008,3,38083,Sheridan,1375.4,1351.0,24.4,1.8067
2005,m2026,2008,3,38085,Sioux,4053.0,4072.0,-19.0,-0.4674
2005,m2026,2008,3,38087,Slope,725.6,730.0,-4.4,-0.6011
2005,m2026,2008,3,38089,Stark,22530.1,23375.0,-844.9,-3.6145
2005,m2026,2008,3,38091,Steele,1988.6,1960.0,28.6,1.4594
2005,m2026,2008,3,38093,Stutsman,20541.3,20812.0,-270.7,-1.3005
2005,m2026,2008,3,38095,Towner,2256.0,2234.0,22.0,0.9844
2005,m2026,2008,3,38097,Traill,8155.9,8157.0,-1.1,-0.0136
2005,m2026,2008,3,38099,Walsh,11095.5,11296.0,-200.5,-1.7747
2005,m2026,2008,3,38101,Ward,55027.3,58670.0,-3642.7,-6.2088
2005,m2026,2008,3,38103,Wells,4226.9,4253.0,-26.1,-0.6136
2005,m2026,2008,3,38105,Williams,19840.8,20928.0,-1087.2,-5.1949
2005,sdc_2024,2009,4,38001,Adams,2256.6,2325.0,-68.4,-2.9433
2005,sdc_2024,2009,4,38003,Barnes,10647.5,11028.0,-380.5,-3.45
2005,sdc_2024,2009,4,38005,Benson,6549.6,6609.0,-59.4,-0.8983
2005,sdc_2024,2009,4,38007,Billings,728.2,796.0,-67.8,-8.5134
2005,sdc_2024,2009,4,38009,Bottineau,6244.4,6390.0,-145.6,-2.2784
2005,sdc_2024,2009,4,38011,Bowman,2864.2,3137.0,-272.8,-8.6972
2005,sdc_2024,2009,4,38013,Burke,1950.5,1962.0,-11.5,-0.5868
2005,sdc_2024,2009,4,38015,Burleigh,76942.0,80122.0,-3180.0,-3.9689
2005,sdc_2024,2009,4,38017,Cass,137698.0,147872.0,-10174.0,-6.8803
2005,sdc_2024,2009,4,38019,Cavalier,3969.3,3975.0,-5.7,-0.1424
2005,sdc_2024,2009,4,38021,Dickey,5217.0,5269.0,-52.0,-0.9876
2005,sdc_2024,2009,4,38023,Divide,1965.5,2020.0,-54.5,-2.6998
2005,sdc_2024,2009,4,38025,Dunn,3310.1,3513.0,-202.9,-5.7767
2005,sdc_2024,2009,4,38027,Eddy,2460.8,2393.0,67.8,2.833
2005,sdc_2024,2009,4,38029,Emmons,3392.4,3568.0,-175.6,-4.9204
