category,horizon,method,origin_year,mean_signed_pct_error,median_signed_pct_error,std_pct_error,n_counties,n_obs
Rural,17,m2026,all,-13.64370487804878,-15.3273,15.768595148267826,41,41
Rural,17,sdc_2024,all,-16.22328536585366,-16.3047,13.928544363636155,41,41
Rural,18,m2026,all,-14.281826829268292,-15.7247,17.335826190364052,41,41
Rural,18,sdc_2024,all,-17.13538292682927,-17.2092,14.88046385000989,41,41
Rural,19,m2026,all,-14.975048780487803,-16.4985,19.09083920079369,41,41
Rural,19,sdc_2024,all,-18.131209756097558,-18.1894,15.881151934113673,41,41
Urban/College,1,m2026,all,-1.17085,-1.5643,1.1033746489746807,4,16
Urban/College,1,sdc_2024,all,-1.0487625,-1.48755,1.1210991855466372,4,16
Urban/College,2,m2026,all,-2.11570625,-2.60215,1.9341477415022703,4,16
Urban/College,2,sdc_2024,all,-1.90095,-2.4352,1.7090645807965636,4,16
Urban/College,3,m2026,all,-3.2894187500000003,-3.90405,2.9737679699260893,4,16
Urban/College,3,sdc_2024,all,-3.0080999999999998,-3.3890000000000002,2.5055248607826663,4,16
Urban/College,4,m2026,all,-4.654768750000001,-4.744999999999999,4.4576056796922945,4,16
Urban/College,4,sdc_2024,all,-4.3301750000000006,-4.27255,3.7610075338930122,4,16
Urban/College,5,m2026,all,-7.843608333333333,-8.5791,4.730394805636943,4,12
Urban/College,5,sdc_2024,all,-7.3519000000000005,-7.1195,3.858789332278855,4,12
Urban/College,6,m2026,all,-8.998391666666667,-9.44205,5.875581561847665,4,12
Urban/College,6,sdc_2024,all,-8.184875,-7.72965,4.745852155136007,4,12
Urban/College,7,m2026,all,-10.057966666666667,-10.77585,6.755259499535204,4,12
Urban/College,7,sdc_2024,all,-8.933575,-8.8688,5.308475511879778,4,12
Urban/College,8,m2026,all,-11.3073,-12.70995,7.5877760668064,4,12
Urban/College,8,sdc_2024,all,-9.873825,-10.30785,5.908803964213062,4,12
Urban/College,9,m2026,all,-12.729658333333331,-14.08325,8.680326304869832,4,12
Urban/College,9,sdc_2024,all,-10.992041666666665,-11.78095,6.8828321297477455,4,12
Urban/College,10,m2026,all,-19.2558875,-19.1008,5.962844768453944,4,8
Urban/College,10,sdc_2024,all,-15.748562499999998,-15.171949999999999,5.872962678711292,4,8
Urban/College,11,m2026,all,-20.828274999999998,-20.3831,6.541717693552884,4,8
Urban/College,11,sdc_2024,all,-16.96755,-15.88725,6.352340322387377,4,8
Urban/College,12,m2026,all,-21.8370125,-22.1699,6.582031309001695,4,8
Urban/College,12,sdc_2024,all,-17.585150000000002,-16.53105,6.24847495199543,4,8
Urban/College,13,m2026,all,-22.9678875,-23.965899999999998,6.915638019205355,4,8
Urban/College,13,sdc_2024,all,-18.3215625,-17.47385,6.455231246701612,4,8
Urban/College,14,m2026,all,-23.9538,-25.19965,7.1874349773953226,4,8
Urban/College,14,sdc_2024,all,-18.88695,-18.1707,6.665692828634866,4,8
Urban/College,15,m2026,all,-29.237750000000002,-31.4079,8.183302670478874,4,4
Urban/College,15,sdc_2024,all,-23.786675000000002,-24.98405,8.05863074282267,4,4
Urban/College,16,m2026,all,-30.244449999999997,-32.8553,8.244752274628995,4,4
Urban/College,16,sdc_2024,all,-24.551550000000002,-26.1198,7.910262411787192,4,4
Urban/College,17,m2026,all,-31.3784,-34.38935,8.434351485443324,4,4
Urban/College,17,sdc_2024,all,-25.441200000000002,-27.344450000000002,7.957290365863663,4,4
Urban/College,18,m2026,all,-32.821175000000004,-36.24615,8.905185413519847,4,4
Urban/College,18,sdc_2024,all,-26.6616,-29.2217,8.348149279930253,4,4
Urban/College,19,m2026,all,-34.2016,-37.4955,9.117405918717596,4,4
Urban/College,19,sdc_2024,all,-27.7984,-30.314049999999998,8.566398530304317,4,4
Bakken,1,m2026,2005,-0.6429199999999999,-0.6379,0.9047903386973138,5,5
Bakken,1,m2026,2010,-0.15384,-0.2336,0.22474284860702465,5,5
Bakken,1,m2026,2015,-6.423920000000001,-4.4115,3.7975264267678246,5,5
Bakken,1,m2026,2020,5.2022200000000005,3.1191,3.624530410549758,5,5
Bakken,1,sdc_2024,2005,-0.42978000000000005,-0.4106,0.7996713649993977,5,5
Bakken,1,sdc_2024,2010,-0.09364,-0.1461,0.27654743354441025,5,5
Bakken,1,sdc_2024,2015,-6.4077399999999995,-4.1959,3.742317518998088,5,5
Bakken,1,sdc_2024,2020,5.14344,3.5263,3.0268938332885083,5,5
Bakken,2,m2026,2005,-2.34604,-2.5823,0.8894449184744382,5,5
Bakken,2,m2026,2010,-5.60624,-5.457,2.075189559534261,5,5
Bakken,2,m2026,2015,-2.65606,-2.6686,4.27004059442062,5,5
Bakken,2,m2026,2020,7.816979999999999,7.103,4.81327733742821,5,5
Bakken,2,sdc_2024,2005,-1.97984,-1.8363,0.7703009463839442,5,5
Bakken,2,sdc_2024,2010,-5.49714,-5.5129,2.0525590863602443,5,5
Bakken,2,sdc_2024,2015,-2.6310999999999996,-2.2306,4.092895343763384,5,5
Bakken,2,sdc_2024,2020,7.68754,8.3253,3.715112014192842,5,5
Bakken,3,m2026,2005,-3.9991399999999997,-3.6145,1.1000104604048089,5,5
Bakken,3,m2026,2010,-12.854580000000002,-11.2653,3.9477781785454966,5,5
Bakken,3,m2026,2015,-0.40712000000000004,0.4722,5.25021798185561,5,5
Bakken,3,m2026,2020,7.08978,5.6745,5.17071545890895,5,5
Bakken,3,sdc_2024,2005,-3.5415,-3.2455,0.8277003594296671,5,5
Bakken,3,sdc_2024,2010,-12.708460000000002,-11.3176,3.901220388288773,5,5
Bakken,3,sdc_2024,2015,-0.3771600000000001,0.6757,4.970094480289082,5,5
Bakken,3,sdc_2024,2020,6.8847999999999985,7.5131,3.3884271122454432,5,5
Bakken,4,m2026,2005,-6.9607600000000005,-7.2751,1.469335869704405,5,5
Bakken,4,m2026,2010,-19.30782,-15.5141,6.809956939070907,5,5
Bakken,4,m2026,2015,-2.186,-0.6881,6.792725950971377,5,5
Bakken,4,m2026,2020,6.543080000000001,5.647,4.729192561315303,5,5
Bakken,4,sdc_2024,2005,-6.471299999999999,-6.1004,1.543184867408957,5,5
Bakken,4,sdc_2024,2010,-19.13204,-15.4252,6.751705421817513,5,5
Bakken,4,sdc_2024,2015,-2.14874,0.2094,6.5627079961704835,5,5
Bakken,4,sdc_2024,2020,6.2797,8.1265,2.600405717383347,5,5
Bakken,5,m2026,2005,-9.07248,-9.0761,1.6795361731740106,5,5
Bakken,5,m2026,2010,-25.17944,-20.1514,9.342112447032525,5,5
Bakken,5,m2026,2015,-4.5871,-5.2043,12.578002238630743,5,5
Bakken,5,sdc_2024,2005,-8.59784,-8.491,1.984357352645939,5,5
Bakken,5,sdc_2024,2010,-24.975,-20.1658,9.317158329394214,5,5
Bakken,5,sdc_2024,2015,-4.54016,-5.6259,12.464184847714671,5,5
Bakken,6,m2026,2005,-9.56436,-10.141,1.9586571325783388,5,5
Bakken,6,m2026,2010,-30.393719999999995,-24.1653,11.278009648293443,5,5
