fips,age_group,sex,race,proportion
38001,55-59,female,black_nonhispanic,0.0008852527342298461
38001,55-59,male,aian_nonhispanic,0.0005713922728505287
38001,55-59,female,aian_nonhispanic,0.0006582496409597172
38001,55-59,male,asian_nonhispanic,0.0001550511695172289
38001,55-59,female,asian_nonhispanic,0.00022539845939078648
38001,55-59,male,multiracial_nonhispanic,0.00011772403611493307
38001,55-59,female,multiracial_nonhispanic,0.0005227488425344729
38001,55-59,male,hispanic,0.00041993025077582827
38001,55-59,female,hispanic,0.0003826031173735324
38001,60-64,male,white_nonhispanic,0.030014396008878088
38001,60-64,female,white_nonhispanic,0.032671716915567785
38001,60-64,male,black_nonhispanic,0.0009495829609022708
38001,60-64,female,black_nonhispanic,0.0008368837312068776
38001,60-64,male,aian_nonhispanic,0.0005333473099597271
38001,60-64,female,aian_nonhispanic,0.0008259473139769611
38001,60-64,male,asian_nonhispanic,0.0001148527181609103
38001,60-64,female,asian_nonhispanic,0.0003536155105402176
38001,60-64,male,multiracial_nonhispanic,0.00030623876429884206
38001,60-64,female,multiracial_nonhispanic,0.000315570547649416
38001,60-64,male,hispanic,0.0009244589288045716
38001,60-64,female,hispanic,0.0004856961364252644
38001,65-69,male,white_nonhispanic,0.03421887196071145
38001,65-69,female,white_nonhispanic,0.030939192887487324
38001,65-69,male,black_nonhispanic,0.0010203736529712467
38001,65-69,female,black_nonhispanic,0.00010049612839079651
38001,65-69,male,aian_nonhispanic,0.0004084449789597372
38001,65-69,female,aian_nonhispanic,0.0009146837432585794
38001,65-69,male,asian_nonhispanic,8.82930270861998e-05
38001,65-69,female,asian_nonhispanic,0.0005026496168563136
38001,65-69,male,multiracial_nonhispanic,8.757519759769411e-05
38001,65-69,female,multiracial_nonhispanic,0.0004933178335057396
38001,65-69,male,hispanic,0.00021750233501722387
38001,65-69,female,hispanic,0.00016581861184481424
38001,70-74,male,white_nonhispanic,0.02617654161352201
38001,70-74,female,white_nonhispanic,0.02923297571582087
38001,70-74,male,black_nonhispanic,9.977829890229082e-05
38001,70-74,female,black_nonhispanic,6.604031294252343e-05
38001,70-74,male,aian_nonhispanic,0.0006598542748390596
38001,70-74,female,aian_nonhispanic,0.00036035040322985603
38001,70-74,male,asian_nonhispanic,5.311938214942102e-05
38001,70-74,female,asian_nonhispanic,9.331783350573962e-05
38001,70-74,male,multiracial_nonhispanic,5.742635908045515e-05
38001,70-74,female,multiracial_nonhispanic,7.034728987355757e-05
38001,70-74,male,hispanic,0.0003220310130459672
38001,70-74,female,hispanic,0.00012274884253447288
38001,75-79,male,white_nonhispanic,0.019125829809884407
38001,75-79,female,white_nonhispanic,0.02235536627130389
38001,75-79,male,black_nonhispanic,0.00025311938214942105
38001,75-79,female,black_nonhispanic,2.8713179540227575e-05
38001,75-79,male,aian_nonhispanic,0.00017012558877584836
38001,75-79,female,aian_nonhispanic,0.00024262636711492303
38001,75-79,male,asian_nonhispanic,5.4555041126432394e-05
38001,75-79,female,asian_nonhispanic,7.250077833907463e-05
38001,75-79,male,multiracial_nonhispanic,4.450542828735274e-05
38001,75-79,female,multiracial_nonhispanic,4.881240521838688e-05
38001,75-79,male,hispanic,0.0006545550411264325
38001,75-79,female,hispanic,7.321860782758032e-05
38001,80-84,male,white_nonhispanic,0.014498468429562827
38001,80-84,female,white_nonhispanic,0.013709172349378837
38001,80-84,male,black_nonhispanic,8.613953862068272e-06
38001,80-84,female,black_nonhispanic,1.3638760281608098e-05
38001,80-84,male,aian_nonhispanic,8.757519759769411e-05
38001,80-84,female,aian_nonhispanic,0.00013279845537355253
38001,80-84,male,asian_nonhispanic,2.655969107471051e-05
38001,80-84,female,asian_nonhispanic,0.00025168372317240965
38001,80-84,male,multiracial_nonhispanic,0.0002193813961896536
38001,80-84,female,multiracial_nonhispanic,2.655969107471051e-05
38001,80-84,male,hispanic,2.7995350051721888e-05
38001,80-84,female,hispanic,3.589147442528447e-05
38001,85+,male,white_nonhispanic,0.011314155225919194
38001,85+,female,white_nonhispanic,0.02496028562533268
38001,85+,male,black_nonhispanic,1.3638760281608098e-05
38001,85+,female,black_nonhispanic,1.7227907724136545e-05
38001,85+,male,aian_nonhispanic,7.250077833907463e-05
38001,85+,female,aian_nonhispanic,0.00029762481043677376
38001,85+,male,asian_nonhispanic,1.292093079310241e-05
38001,85+,female,asian_nonhispanic,3.0148838517238954e-05
38001,85+,male,multiracial_nonhispanic,2.0099225678159305e-05
38001,85+,female,multiracial_nonhispanic,2.9431009028733266e-05
38001,85+,male,hispanic,0.00023230232698275602
38001,85+,female,hispanic,5.670852959194946e-05
38003,0-4,male,white_nonhispanic,0.019540655676977218
38003,0-4,female,white_nonhispanic,0.01796629005371365
38003,0-4,male,black_nonhispanic,0.00027782922763474715
