window,variant_id,place_fips,place_name,county_fips,tier,MAPE,MedAPE,mean_error_pct,MaxAPE,AE_terminal,flag,tier_boundary,multi_county_primary
primary,B-II,3814100,Christine city,38077,EXCLUDED,0.9326416078226544,0.7656082395627529,0.23562427367303615,2.2869198294934994,3.407510545945314,,False,False
primary,B-II,3824060,Emerado city,38035,EXCLUDED,0.7724533570019524,0.34835817138731995,0.22686700584398584,2.723271369886184,0.061842586534964994,,False,False
primary,B-II,3886220,Williston city,38105,HIGH,7.372711573984191,7.014096109154796,7.098493456037471,15.507622460470222,4469.451869332122,,False,False
primary,B-II,3884780,West Fargo city,38017,HIGH,3.5495269333589805,2.6473544049512543,1.477777404881806,10.44335545823657,4284.595443850718,,False,False
primary,B-II,3807200,Bismarck city,38015,HIGH,3.528504512496793,3.5365470090863123,-3.528504512496793,5.034101138436781,3915.121137385053,,False,False
primary,B-II,3849900,Mandan city,38059,HIGH,3.2603595892966184,3.216419323339883,0.14509830355196054,4.676063305704484,1159.1025722180275,,False,False
primary,B-II,3853380,Minot city,38101,HIGH,3.002588249200702,2.6742798156946757,2.775635037007159,6.532200416059328,3098.875877378545,,False,False
primary,B-II,3832060,Grand Forks city,38035,HIGH,2.9906236983953063,2.7389583099496955,1.3360965947217978,4.966316197473343,2972.091928377922,,False,False
primary,B-II,3819620,Dickinson city,38089,HIGH,2.6520687854292295,2.5516290574329608,0.8160236314001545,4.249216963352178,1091.8362987333421,,False,False
primary,B-II,3840580,Jamestown city,38093,HIGH,2.371966273149421,2.3971961683385477,1.1028307130864738,3.9110335911573375,617.513093707832,,False,False
primary,B-II,3825700,Fargo city,38017,HIGH,1.268725502174643,1.373633823951038,-1.268725502174643,2.4199492556060855,3298.027843002754,,False,False
primary,B-II,3810940,Burlington city,38101,LOWER,19.352511469168412,20.46438560102404,-19.352511469168412,28.471209338806432,379.8059325796778,,False,False
primary,B-II,3850580,Mapleton city,38017,LOWER,19.125691071637597,25.286057778480462,-18.899246968121226,27.47368631124956,405.5116099540435,,False,False
primary,B-II,3865580,Ray city,38105,LOWER,17.73885666801845,18.015186346649564,17.73885666801845,23.42312805755194,104.93692167101153,,False,False
primary,B-II,3812700,Casselton city,38017,LOWER,13.851102856002248,13.261187326145027,13.851102856002248,22.77776222641891,566.2551689487741,,True,False
primary,B-II,3866500,Richardton city,38089,LOWER,13.734836377028135,15.537044034758637,-13.734836377028135,21.822624025975774,149.92142705845356,,False,False
primary,B-II,3877180,Surrey city,38101,LOWER,13.160523988739834,13.479632915626754,-13.160523988739834,15.223634342047884,218.30691646496666,,False,False
primary,B-II,3866040,Reile's Acres city,38017,LOWER,11.216492196550506,11.352488360295723,11.216492196550506,19.408474903578053,86.02804737882684,,False,False
primary,B-II,3823020,Elgin city,38037,LOWER,11.140359422310771,11.316489687791293,11.140359422310771,17.48536181988768,91.62329593621143,,True,False
primary,B-II,3816940,Crosby city,38023,LOWER,10.228136500740325,11.617040797229244,10.228136500740325,14.589246184775922,139.03306084104656,,False,False
primary,B-II,3829460,Garrison city,38055,LOWER,9.794614423943049,9.702249558513188,9.794614423943049,13.727832329256607,201.11274362360928,,False,False
primary,B-II,3844540,LaMoure city,38045,LOWER,9.615086258622792,11.048539873340466,9.615086258622792,14.037298221068392,100.86165060136886,,False,False
primary,B-II,3867820,Rolla city,38079,LOWER,9.584302668870539,9.61709293301286,-9.584302668870539,19.163825295658793,221.72545867077224,,False,False
primary,B-II,3842700,Killdeer city,38025,LOWER,9.535968460196537,10.567643571789205,-9.535968460196537,13.559105854239622,99.65450448539536,,False,False
primary,B-II,3879940,Turtle Lake city,38055,LOWER,8.891477256533667,9.01856085952235,8.891477256533667,11.497345871138922,61.165880034459065,,False,False
primary,B-II,3860940,Parshall city,38061,LOWER,8.526989997427677,7.2390003814564885,-4.639002862344387,17.832568846720736,161.9197251282243,,False,False
primary,B-II,3875380,Stanley city,38061,LOWER,7.567347695292289,7.8094376962684295,-7.567347695292289,13.019856064614418,109.0589081959215,,False,False
primary,B-II,3842780,Kindred city,38017,LOWER,7.271001212630418,7.400752540522239,-7.185461538689223,14.3732184663522,140.8258440207037,,False,False
primary,B-II,3878940,Tioga city,38105,LOWER,7.255434892484298,7.7471582154812335,-5.917295948004751,10.529644020210114,217.86832649146663,,False,False
primary,B-II,3836100,Hatton city,38097,LOWER,7.005242217195638,7.355914565767323,7.005242217195638,9.783431280513941,70.04936796847983,,False,False
primary,B-II,3835900,Harvey city,38103,LOWER,6.680146812779695,6.607921785150953,6.680146812779695,12.972581574350766,202.89117582284598,,False,False
primary,B-II,3805420,Beach city,38033,LOWER,6.458446657956739,6.764466966071435,6.458446657956739,9.462906693822717,93.96666346965958,,False,False
primary,B-II,3830860,Glen Ullin city,38059,LOWER,6.2887588349415795,5.408551285705457,6.2887588349415795,10.518784013951095,44.117038275092455,,False,False
primary,B-II,3842020,Kenmare city,38101,LOWER,5.987572809189693,6.025648437413706,5.987572809189693,7.59468235838805,35.63502935054919,,False,False
primary,B-II,3856700,New Salem city,38059,LOWER,5.7653262394193785,4.944795280267104,-3.6324290768544403,12.464991177668287,133.1261057774973,,False,False
primary,B-II,3821020,Dunseith city,38079,LOWER,5.703180091502991,4.317676911061808,2.384860641735995,11.418664962383998,23.314434277746045,,False,False
primary,B-II,3886580,Wilton city,38055,LOWER,5.376077073828945,5.727273287483435,-5.376077073828945,9.385372621375328,67.01156051661985,,False,True
primary,B-II,3805820,Belfield city,38089,LOWER,5.071245087003166,4.446841391719258,5.071245087003166,8.415376038514864,55.1737654554895,,False,False
primary,B-II,3824260,Enderlin city,38073,LOWER,4.8081117181595,4.475482945768447,3.6499520434228403,9.086496585457411,77.32608594224257,,False,True
primary,B-II,3852940,Milnor city,38081,LOWER,4.780138255995595,5.106098606162357,4.780138255995595,6.269626541716078,33.633136466865494,,False,False
primary,B-II,3882980,Walhalla city,38067,LOWER,4.684544506843329,4.926724991333293,4.684544506843329,7.29128851089776,63.21547138948358,,False,False
primary,B-II,3847100,Lisbon city,38073,LOWER,4.61760579341981,5.050868706191905,2.312817530311455,7.111368494575486,151.3393949692545,,False,False
primary,B-II,3845020,Larimore city,38035,LOWER,4.576834645820099,4.749069697922187,4.576834645820099,6.928125783130657,73.72373093744227,,False,False
primary,B-II,3856620,New Rockford city,38027,LOWER,4.467805693867172,4.332060596836386,4.274694348094575,9.125556065448542,121.73491791308356,,False,False
primary,B-II,3823220,Ellendale city,38021,LOWER,4.449385084053923,4.63282329276377,4.449385084053923,6.804610132860868,45.15033054730384,,False,False
