place_fips,MAPE,MedAPE,ME,MaxAPE,n_test_years,AE_terminal,place_name,window,variant_id
3874020,6.213910388804737,6.325972964968376,-6.167570367631025,12.217008066949138,5,4.764633146110164,Souris city,secondary,A-II
3874185,1.836780034762469,1.4023163287159368,0.3551686100508252,4.077555283317299,5,9.325266058436455,South Heart city,secondary,A-II
3874740,15.772951028296006,16.324744664923195,15.772951028296006,19.06470293906676,5,17.920820762722755,Spiritwood Lake city,secondary,A-II
3874780,100.0,100.0,-100.0,100.0,5,35.0,Springbrook city,secondary,A-II
3875380,2.065825544088242,2.133348881631275,-0.6680676722727733,3.721865149865496,5,53.276074541109665,Stanley city,secondary,A-II
3875420,2.8387633017916944,3.0699348686675063,2.8387633017916944,3.80600989301702,5,13.815815911651782,Stanton city,secondary,A-II
3875580,2.096402742071417,1.9748336873459609,-0.7101418021539819,4.001330227735453,5,3.881290320903389,Starkweather city,secondary,A-II
3875780,1.0616630985934123,1.1044634269079765,-1.0616630985934123,1.5969733983561545,5,10.460175759232811,Steele city,secondary,A-II
3876500,0.9507362291171415,0.4252034287106976,-0.9507362291171415,2.4922442439648895,5,4.569258499164619,Strasburg city,secondary,A-II
3876620,5.177384168996624,5.237006050250865,5.177384168996624,6.094591535518877,5,6.4521880222708035,Streeter city,secondary,A-II
3877180,1.2588026828942174,1.0153061091654945,-0.9511010897854757,2.3053838841062797,5,31.606355747049747,Surrey city,secondary,A-II
3877660,2.273036797145031,2.5774931980184226,2.273036797145031,2.906221939165504,5,1.5402512730168922,Sykeston city,secondary,A-II
3877980,2.940923244299375,2.7929866249028397,-2.940923244299375,3.4424964167191883,5,5.132244696989858,Tappen city,secondary,A-II
3878180,1.1979257727678199,1.0799527688435306,-1.128299635712199,2.2480874769277475,5,0.3968689812170396,Taylor city,secondary,A-II
3878660,1.9689001632047887,1.8188588355653104,1.9689001632047887,3.1730134198651867,5,27.83190488054811,Thompson city,secondary,A-II
3878940,2.830817756230753,2.9735335256589868,-2.830817756230753,3.6230289831143825,5,78.8733409624001,Tioga city,secondary,A-II
3879140,3.482547607570838,2.866280605592113,-3.1567971612270407,8.296405601783867,5,3.5674544087670625,Tolley city,secondary,A-II
3879180,8.316417310055233,8.50774003109981,8.316417310055233,9.549690948033525,5,9.356640458908913,Tolna city,secondary,A-II
3879340,4.479891384674405,4.532714813594644,-4.479891384674405,5.679626336538552,5,15.675768688846404,Tower City city,secondary,A-II
3879420,3.78897178681859,3.6812952772535796,-3.78897178681859,4.7251269576496835,5,21.452076387729562,Towner city,secondary,A-II
3879940,6.235927999423824,6.1833232731316805,6.235927999423824,6.673990793156816,5,32.16970557350339,Turtle Lake city,secondary,A-II
3880140,3.044932929749863,3.131726740009017,-2.601536218769502,5.261914771386771,5,3.0519105674043274,Tuttle city,secondary,A-II
3880660,0.07562270080542186,0.09139401673394981,0.001970920541841012,0.09858935453832399,5,0.7149901955617679,Underwood city,secondary,A-II
3880860,8.903735793183944,9.291605745143519,-8.903735793183944,9.515825485757649,5,12.275414876627366,Upham city,secondary,A-II
3881180,3.555662720571798,3.524277694039773,3.555662720571798,3.8809679714617165,5,255.25347044845785,Valley City city,secondary,A-II
3881620,0.9512552257770842,0.802948279515119,-0.9512552257770842,1.779104538369098,5,3.4396372934575083,Velva city,secondary,A-II
3881700,15.352680461352438,15.155054897291595,-15.352680461352438,16.506069182799266,5,2.9639302494274986,Venturia city,secondary,A-II
3881900,3.2293562022163287,2.4160078347551712,2.26295306831426,7.443164101479555,5,1.497924857548206,Verona city,secondary,A-II
3882380,9.313728882180138,9.131240696697189,-9.313728882180138,9.709243509577133,5,4.1749747091181675,Voltaire city,secondary,A-II
3882660,1.900783608274572,1.9800425550551577,1.900783608274572,2.2611090133859477,5,116.6068082451784,Wahpeton city,secondary,A-II
3882780,11.890388055655144,11.85565278254571,11.890388055655144,17.83700605269348,5,47.44643610016465,Walcott city,secondary,A-II
3882940,44.09910568642725,43.11423600339015,44.09910568642725,58.4477393988712,5,2.734744280288071,Wales city,secondary,A-II
3882980,3.7305249734996835,3.6410030381597327,3.7305249734996835,4.387950420671313,5,38.04353014722028,Walhalla city,secondary,A-II
3883580,8.113995026594191,8.817356787277872,-8.113995026594191,10.493332634916433,5,5.141732991109052,Warwick city,secondary,A-II
3883700,2.127770351200012,2.1932994204698377,2.127770351200012,2.3317289525259,5,28.613187040966523,Washburn city,secondary,A-II
3883860,3.5924779895386165,2.6123842710183993,2.8368631608782953,8.02204341406474,5,497.92823471099837,Watford City city,secondary,A-II
3884780,6.547882936529793,5.557996546943497,6.547882936529793,11.041587141632766,5,4530.031956597675,West Fargo city,secondary,A-II
3885020,2.511478371026194,2.4120688592295414,-2.511478371026194,4.060460236331788,5,14.983098272064296,Westhope city,secondary,A-II
3885540,5.041455096004652,5.151062821196974,-5.041455096004652,5.806851047940924,5,4.664018289312281,White Earth city,secondary,A-II
3886020,7.830261801600952,6.448653604282388,-6.92394926362519,15.945782601261147,5,18.018734339425095,Wildrose city,secondary,A-II
3886220,12.322272901919508,12.372085701402533,12.322272901919508,14.211470779967176,5,4095.8879934943398,Williston city,secondary,A-II
3886380,6.716360644485013,6.402460175168436,-6.716360644485013,8.928505545330442,5,13.214188207089052,Willow City city,secondary,A-II
3886580,2.9082166255939392,2.5659929416254257,-2.9082166255939392,4.672584318695247,5,33.36225203548406,Wilton city,secondary,A-II
3886620,5.214042628567401,5.042576876376706,5.214042628567401,6.4621103934029,5,7.040588221113893,Wimbledon city,secondary,A-II
3886780,10.068836743260745,9.690947715369894,-10.068836743260745,14.077512138985766,5,19.567741873190215,Wing city,secondary,A-II
3887020,5.314172582613739,5.493032988077733,5.314172582613739,5.847318636219387,5,48.53274468062091,Wishek city,secondary,A-II
3887180,14.078468514817502,14.288665197010605,-14.078468514817502,14.827672531796953,5,5.905041295945303,Wolford city,secondary,A-II
3887580,11.158482933066484,10.539957023418431,-11.158482933066484,15.271425292752605,5,6.872141381738672,Woodworth city,secondary,A-II
3887740,2.692035472069578,2.9128025360708123,-2.692035472069578,3.145452580948994,5,7.59358158207948,Wyndmere city,secondary,A-II
3887860,13.26435717760305,13.536716480244404,-13.26435717760305,18.594723782952492,5,2.7892085674428735,York city,secondary,A-II
3888140,0.4922631233303846,0.5416323448589708,-0.4922631233303846,0.6767763356303005,5,1.224089099381274,Zap city,secondary,A-II
3888180,11.75972791171471,12.007226358463477,-11.75972791171471,13.843438617736178,5,11.213185280366304,Zeeland city,secondary,A-II
3800100,2.2047982658481637,2.5051282346283186,-0.8749132515744901,4.235561933970819,5,10.885394170305005,Abercrombie city,secondary,B-I
3800340,8.164989358245275,8.28634656934529,-8.164989358245275,10.527985496267188,5,12.84414230544597,Adams city,secondary,B-I
3800940,8.860069580926018,7.993777222147604,-7.578400665765466,16.33399929755505,5,9.147039606630827,Alamo city,secondary,B-I
3801180,14.768702299233336,14.954368686381125,-14.768702299233336,22.102846770966153,5,70.0660242639627,Alexander city,secondary,B-I
3801420,100.0,100.0,-100.0,100.0,5,44.0,Alice city,secondary,B-I
3801700,8.863459552108317,8.256874995354341,8.863459552108317,13.379390943374514,5,4.4551895792766345,Almont city,secondary,B-I
3801740,16.507264886161668,15.858866211426903,-16.507264886161668,21.72136561351144,5,6.516409684053432,Alsen city,secondary,B-I
3801860,6.883373312559489,5.822405460361124,6.883373312559489,12.726637739795631,5,0.7495033453986242,Ambrose city,secondary,B-I
3801940,100.0,100.0,-100.0,100.0,5,87.0,Amenia city,secondary,B-I
3802060,4.024716726931912,4.045888340020847,-4.024716726931912,5.967348803055961,5,0.628186660153812,Amidon city,secondary,B-I
3802220,9.804127887408686,10.040211140327658,-9.804127887408686,11.528760494215929,5,24.902122667506404,Anamoose city,secondary,B-I
3802380,6.149633708550897,6.752082868429134,6.149633708550897,7.579985647972781,5,17.144761503302732,Aneta city,secondary,B-I
3802660,15.228776675844452,17.091996354840802,-15.228776675844452,22.671884792581583,5,4.9878146543679485,Antler city,secondary,B-I
3802860,31.120909241294605,29.48378861964028,31.120909241294605,39.75803374249238,5,8.04551797500082,Ardoch city,secondary,B-I
3803020,24.098802372777293,24.25884089825924,24.098802372777293,33.170189872526365,5,158.22180569195075,Argusville city,secondary,B-I
3803220,9.46828005093266,9.229487807995598,-9.46828005093266,10.790698662746466,5,31.18511913533729,Arnegard city,secondary,B-I
3803300,3.992388578956736,3.939021897767265,-3.992388578956736,6.0696652787924865,5,19.726412156075583,Arthur city,secondary,B-I
3803540,1.6578765677163196,1.7328199225740575,0.6500522673044956,2.7490615152815754,5,10.414247734670084,Ashley city,secondary,B-I
3804020,100.0,100.0,-100.0,100.0,5,12.0,Ayr city,secondary,B-I
3804460,18.111418846641904,18.17822741298824,18.111418846641904,20.372118292774722,5,2.726734111948236,Balfour city,secondary,B-I
3804580,2.2010647548943774,2.077249311586682,-2.2010647548943774,2.965500211750859,5,1.6877229889297638,Balta city,secondary,B-I
3804940,4.478848048524393,2.959400037446316,-4.155575499566827,10.556582714225206,5,4.750462221401342,Barney city,secondary,B-I
3805260,10.467481520307002,10.149991153339794,10.467481520307002,11.824945318893073,5,5.017487423331595,Bathgate city,secondary,B-I
3805420,1.7000211519797397,1.653711000612381,1.7000211519797397,2.2273499113230892,5,22.117584619438276,Beach city,secondary,B-I
3805820,3.1776719402733464,3.264679450941138,3.1776719402733464,5.036574001449639,5,12.163101770436015,Belfield city,secondary,B-I
3805980,9.346280425219593,9.207148170427725,9.346280425219593,9.930311990437154,5,6.3883553105071655,Benedict city,secondary,B-I
3806180,17.99105565415841,17.970837472236312,-17.99105565415841,18.787190860160987,5,2.066590994617709,Bergen city,secondary,B-I
3806300,12.078313187067291,11.941920221379876,12.078313187067291,12.73295240409591,5,4.074544769310691,Berlin city,secondary,B-I
3806460,1.846953424992212,1.8843638874809152,1.846953424992212,2.017022021796808,5,6.900729852650159,Berthold city,secondary,B-I
3806660,2.683448719834092,2.702084134475155,2.683448719834092,2.7220203157824394,5,79.63930378386658,Beulah city,secondary,B-I
3807020,4.14501452687707,4.235696189179186,4.14501452687707,4.44705307282941,5,7.15975544725535,Binford city,secondary,B-I
3807180,1.5120835450750811,1.384987778504878,1.3248086076303927,3.3606993069366298,5,0.4775510904839564,Bisbee city,secondary,B-I
3807200,0.622261783949698,0.4694844084200703,0.5110907637933231,1.3169755309889972,5,216.14981449003972,Bismarck city,secondary,B-I
3808460,2.914138407872295,2.969874753886997,2.914138407872295,3.4450977363266855,5,72.27457297362889,Bottineau city,secondary,B-I
3808500,2.3916955568142404,2.8463679419773387,-0.7374900742953929,4.141302084675894,5,11.844123962173057,Bowbells city,secondary,B-I
3808580,4.068717364906048,4.475196186294201,4.068717364906048,5.7733288839397545,5,7.851727282158066,Bowdon city,secondary,B-I
3808700,0.8131745569033318,0.6442801510868414,-0.5708470199407012,1.5682249575102805,5,22.206065398345572,Bowman city,secondary,B-I
3808900,4.25174246124147,3.8582187183775263,0.8517858843272741,7.755911476636146,5,0.9707212161713343,Braddock city,secondary,B-I
3809320,100.0,100.0,-100.0,100.0,5,54.0,Briarwood city,secondary,B-I
3809460,4.366721229264702,4.3198579195894204,-4.366721229264702,5.207357065598314,5,1.405986407711545,Brinsmade city,secondary,B-I
3809700,6.713477249821859,7.9153106484467495,6.713477249821859,12.393928409430652,5,0.12015078547587166,Brocket city,secondary,B-I
3810060,16.51885487761863,16.88166667315575,16.51885487761863,18.881141987720415,5,16.048970689562353,Buchanan city,secondary,B-I
3810300,5.003427019156429,2.5118635171343464,4.525453969397598,11.96361674832242,5,0.1792398936595614,Bucyrus city,secondary,B-I
3810420,80.65277727735919,100.0,-80.65277727735919,100.0,5,189.0,Buffalo city,secondary,B-I
3810940,6.042478051816449,5.695565131088352,-6.042478051816449,9.102866465707512,5,121.43223865253822,Burlington city,secondary,B-I
3811180,7.435894066812319,7.4494074297546895,-7.435894066812319,10.309868246567493,5,7.423105137528594,Butte city,secondary,B-I
3811340,1.746176320312553,1.6176907630059971,-1.746176320312553,2.0644324011752984,5,5.613321047181159,Buxton city,secondary,B-I
3811580,15.098681072145258,12.415394375107747,13.641940658703643,32.3431520179897,5,0.21851106201624226,Calio city,secondary,B-I
3811700,16.84492141710114,16.683557373172214,-16.84492141710114,20.34445304280473,5,2.644778895564615,Calvin city,secondary,B-I
3811860,1.422121481537923,1.4648363112057634,1.422121481537923,2.403495645131772,5,25.5010887948481,Cando city,secondary,B-I
3812060,5.98832635837349,6.070360118708362,-5.98832635837349,8.763097005352737,5,2.804191041712876,Canton City (Hensel) city,secondary,B-I
3812260,1.5964822079127368,1.3886283332070395,-1.4489521186985748,3.497522743996407,5,4.861556614155006,Carpio city,secondary,B-I
3812340,7.316922116075756,7.659202945669376,7.316922116075756,8.457138818450543,5,170.74963274451648,Carrington city,secondary,B-I
3812460,5.016044051342936,5.020401464034533,5.016044051342936,5.138464656180811,5,12.170641149875792,Carson city,secondary,B-I
3812700,5.726181586004894,6.090189835195248,5.726181586004894,7.281773902220423,5,181.0248992091997,Casselton city,secondary,B-I
3812820,23.46100024765132,22.189122450155548,23.46100024765132,32.008123410353114,5,3.066894312682141,Cathay city,secondary,B-I
3812940,1.156318911250136,1.1454147350137687,1.156318911250136,1.4759791178263089,5,15.534585547675306,Cavalier city,secondary,B-I
3813020,23.131647868645683,22.721671175010712,-23.131647868645683,24.777213601402728,5,9.663113304547064,Cayuga city,secondary,B-I
3813180,4.832059985058597,4.8368932130614395,-4.832059985058597,5.547869651536823,5,32.28860137194431,Center city,secondary,B-I
3814100,1.3578036523067747,1.1620734943710431,1.177650889042064,3.096135742314883,5,4.613242256049176,Christine city,secondary,B-I
3814660,11.277985898990464,7.383189956077099,-9.009650390157498,25.14427756396807,5,17.85243707041733,Cleveland city,secondary,B-I
3814740,5.149900729932481,5.176827217242843,-4.960672711947128,9.928029270443355,5,3.0776890738374405,Clifford city,secondary,B-I
3815100,8.743634911197592,9.181263968609619,-8.743634911197592,15.836748579002913,5,10.92735651951201,Cogswell city,secondary,B-I
3815140,6.845748586468423,8.575760814079258,-2.6012637181480818,11.944854993497636,5,7.405810095968533,Coleharbor city,secondary,B-I
3815180,1.9895341957911856,1.1652144464174368,0.8546225695608465,4.8874037274467295,5,2.435298193012443,Colfax city,secondary,B-I
3815460,4.5174934886383,4.413651247867946,4.5174934886383,4.877407891513072,5,5.632895946456188,Columbus city,secondary,B-I
3815820,9.462048266094172,10.537728025260598,6.9140495362598955,16.878250842027008,5,0.669266204474745,Conway city,secondary,B-I
3815900,3.341494636620355,3.211047227493047,3.341494636620355,4.313867651571677,5,41.4131294550881,Cooperstown city,secondary,B-I
3816380,3.072616785755122,2.8996265342516527,3.072616785755122,6.139255948924833,5,0.020074655405686315,Courtenay city,secondary,B-I
3816580,4.238205792024181,4.74421480872501,4.238205792024181,5.953897346049736,5,1.8271110603861587,Crary city,secondary,B-I
3816940,1.4898023531304088,1.50995092472427,1.4898023531304088,1.8399934281877113,5,10.926728329823618,Crosby city,secondary,B-I
3817060,0.991251704275113,1.0911926374567784,0.30005165630458475,1.8208863634895007,5,1.2217166201591283,Crystal city,secondary,B-I
3818180,1.8935282337553594,2.0508952258337376,-1.8935282337553594,2.1146423933245617,5,3.720117579187445,Davenport city,secondary,B-I
3818260,5.8740229324835855,5.849808263679032,-5.8740229324835855,6.782198576658743,5,4.387356197759274,Dawson city,secondary,B-I
3818340,12.317892470785251,12.299706163587604,12.317892470785251,13.47768836929717,5,9.433802517189903,Dazey city,secondary,B-I
